AbradeEquipments	0x08107AA0
Achievement_Achieve	0x081EA5B0
Achievement_GetData	0x081EA2B0
Achievement_IsAchieved	0x081EA440
Achievement_IsRewarded	0x081EA380
Achievement_Reward	0x081EA500
Achievement_SetData	0x081EA660
ActorQuit	0x0810BE70
Add120SkillExp	0x0811C710
AddArenaCredits	0x08107F40
AddBotCode	0x0814E9C0
AddBoxMoney	0x08118FE0
AddBreakPoint	0x080FC160
AddClothesItem	0x0811EB10
AddContribution	0x0811A850
AddCumulateOffer	0x08113F20
AddDex	0x08119FC0
AddDiceItemInfo	0x081C1A10
AddEnergy	0x08107CF0
AddEng	0x0811A040
AddEventItem	0x0811DF90
AddExp	0x0811A140
AddExpInMap	0x08106AE0
AddExtPoint	0x0810FBE0
AddExtPointForGS	0x0810FB20
AddGlobalCountNews	0x081258E0
AddGlobalNews	0x08125A90
AddGlobalTimeNews	0x081255F0
AddGoldItem	0x0811F210
AddItem	0x08120D30
AddItemByIndex	0x08115050
AddItemEx	0x08120470
AddItemForAutoHang	0x081263E0
AddItemIntoEquipmentBox	0x08120D10
AddItemNoStack	0x08120CF0
AddLeadExp	0x0810FF50
AddLoaclTimeNews	0x08125020
AddLocalCountNews	0x08125310
AddLocalNews	0x081254B0
AddLocalTimeNews	0x08125020
AddMSPlayer	0x081366A0
AddMagic	0x0812C430
AddMagicPoint	0x0810FE50
AddMapTrap	0x08102700
AddMaxResist	0x08108DE0
AddMoneyObj	0x08129810
AddNote	0x08124DC0
AddNpc	0x0811BB10
AddNpcEx	0x0811BF40
AddNpcSkillState	0x081260E0
AddObstacleObj	0x081054A0
AddOwnExp	0x081126C0
AddPlatinaItem	0x0811F1F0
AddPlayerEvent	0x0810C510
AddProp	0x0810FD60
AddPvPKilledNum	0x08117640
AddQualityItem	0x081206A0
AddRepute	0x08117290
AddRespect	0x081081A0
AddShop2Stores	0x08122B00
AddSkillExp	0x08129DC0
AddSkillState	0x08126240
AddSomeObj	0x08115700
AddStackItem	0x0811FA10
AddStatData	0x080FF550
AddStation	0x0812D2B0
AddStrg	0x08119F40
AddTempItem	0x08120840
AddTempMagic	0x0812C1B0
AddTermini	0x0812D110
AddTicket	0x08104360
AddTimer	0x08100D40
AddTongExp	0x08105300
AddTongMTask	0x0812DA20
AddTongMoney	0x0811ADD0
AddTongWeek	0x08113D70
AddTotalOffer	0x081140D0
AddVerGoldItem	0x0811DC90
AddVerItem	0x081209C0
AddVit	0x08119EC0
AddWeekGoalOffer	0x0811A700
AddWeeklyOffer	0x08114280
Amulet	0x0825E9FF
AppendString	0x0812FCD0
ApplyDelDungeonMap	0x08126EC0
ApplyDungeonMap	0x08126F50
ApplyItemDice	0x081C1C40
AppointChallenger	0x0812CD00
AppointViceroy	0x0812CDD0
Armor	0x0826A5E4
AroundFillString	0x0812DDE0
AskClientForNumber	0x08115CA0
AskClientForString	0x08115E90
AskRelayForAuctionStatus	0x08113610
AskRelayForKillerStatus	0x08113A30
AttachActor	0x0810BFF0
AttackNpc	0x08117F80
AutoStackItem	0x0811DB60
BT_BroadAllLadder	0x081C6640
BT_BroadBattleDesc	0x081C5DD0
BT_BroadGameData	0x081C6580
BT_BroadGameDataToAll	0x081C64B0
BT_BroadSelf	0x081C65E0
BT_BroadView	0x081C6880
BT_ChangeMiniMap	0x081C63F0
