chuyen_lua4_54: 2986 tep .lua, 135 tep co thay doi
  ESCAPE=17, FORIN=142, LSTR=0, NUMKW=1, UPVAL=415, VARARG=41

protocol.lua:105  for key, v in self.KE_SCRIPT_PROTOCOL -> pairs(self.KE_SCRIPT_PROTOCOL)
protocol.lua:231  function(...) -> + local arg = {n=select('#',...), ...}
timerserver.lua:383  "C:\server\dulieu\\topTG.txt" -> "C:serverdulieu\\topTG.txt"
activitysys/activity.lua:24  for key, value in self -> pairs(self)
activitysys/activity.lua:136  for varId, pData in tbMessage -> pairs(tbMessage)
activitysys/activitydetail.lua:28  for key, value in self -> pairs(self)
activitysys/activitydetail.lua:75  function(...) -> + local arg = {n=select('#',...), ...}
activitysys/activitydetail.lua:77  function(...) -> + local arg = {n=select('#',...), ...}
activitysys/activitydetail.lua:106  %_pack_ -> _pack_
activitysys/activitydetail.lua:108  %_pack_ -> _pack_
activitysys/functionlib.lua:105  %nExpTaskId -> nExpTaskId
activitysys/functionlib.lua:105  %pExpValue -> pExpValue
activitysys/functionlib.lua:295  for k, v in tb -> pairs(tb)
activitysys/functionlib.lua:301  function(...) -> + local arg = {n=select('#',...), ...}
activitysys/functionlib.lua:306  function(...) -> + local arg = {n=select('#',...), ...}
activitysys/functionlib.lua:319  function(...) -> + local arg = {n=select('#',...), ...}
activitysys/functionlib.lua:337  function(...) -> + local arg = {n=select('#',...), ...}
activitysys/g_activity.lua:18  function(...) -> + local arg = {n=select('#',...), ...}
activitysys/g_activity.lua:34  function(...) -> + local arg = {n=select('#',...), ...}
activitysys/g_activity.lua:37  for varId, pData in self.FunSet[szKey] -> pairs(self.FunSet[szKey])
activitysys/g_activity.lua:96  for varId, pData in self.tbItemScript[varKey] -> pairs(self.tbItemScript[varKey])
activitysys/playerfunlib.lua:708  %tbMapList -> tbMapList
activitysys/playerfunlib.lua:718  %tbMapList -> tbMapList
auction_house/auction_manager.lua:319  for nIdx, v in AUC_Viewers -> pairs(AUC_Viewers)
auction_house/auction_manager.lua:340  %nType -> nType
auction_house/auction_manager.lua:341  %szAct -> szAct
auction_house/auction_manager.lua:342  %nId -> nId
auction_house/auction_manager.lua:343  %nCount -> nCount
auction_house/auction_manager.lua:355  %nType -> nType
auction_house/auction_manager.lua:356  %szAct -> szAct
auction_house/auction_manager.lua:357  %nId -> nId
auction_house/auction_manager.lua:358  %nCount -> nCount
auction_house/auction_manager.lua:365  %nType -> nType
auction_house/auction_manager.lua:366  %szAct -> szAct
auction_house/auction_manager.lua:367  %tb -> tb
auction_house/auction_manager.lua:368  %tb -> tb
auction_house/auction_manager.lua:369  %tb -> tb
auction_house/auction_manager.lua:370  %tb -> tb
auction_house/auction_manager.lua:371  %tb -> tb
auction_house/auction_manager.lua:377  %nType -> nType
auction_house/auction_manager.lua:378  %szAct -> szAct
auction_house/auction_manager.lua:379  %nStart -> nStart
auction_house/auction_manager.lua:385  %nType -> nType
auction_house/auction_manager.lua:386  %szAct -> szAct
auction_house/auction_manager.lua:1523  for k, v in AUC_LastCount -> pairs(AUC_LastCount)
auction_house/auction_manager.lua:1530  for n, v in tbAct -> pairs(tbAct)
battles/battle_rank_award.lua:93  function(...) -> + local arg = {n=select('#',...), ...}
battles/doubleexp.lua:10  %tbDouble -> tbDouble
battles/doubleexp.lua:11  %tbDouble -> tbDouble
battles/weeklyrank.lua:140  %tbRankAward -> tbRankAward
battles/weeklyrank.lua:141  %tbRankAward -> tbRankAward
battles/weeklyrank.lua:142  %tbRankAward -> tbRankAward
battles/weeklyrank.lua:144  %tbRankAward -> tbRankAward
battles/weeklyrank.lua:145  %tbRankAward -> tbRankAward
battles/weeklyrank.lua:206  %tbRankAward -> tbRankAward
cauhinh_web/cfgw_driver.lua:35  for k, v in tb -> pairs(tb)
cauhinh_web/cfgw_driver.lua:104  for k, m in tbCFGW_META_CPP -> pairs(tbCFGW_META_CPP)
chienlenh/cl_ui.lua:15  function(...) -> + local arg = {n=select('#',...), ...}
dailogsys/dailog.lua:11  for k, v in self -> pairs(self)
dailogsys/dailog.lua:103  for i, tbOptionList in self.tbOptionList -> pairs(self.tbOptionList)
event/birthday_jieri/200905/class.lua:41  for i, j in tbActData -> pairs(tbActData)
event/equip_publish/wuxingyin/wuxingyin.lua:92  %tbSuccessRate -> tbSuccessRate
event/equip_publish/wuxingyin/wuxingyin.lua:219  %tbLogAction -> tbLogAction
event/equip_publish/wuxingyin/wuxingyin.lua:256  %tbFormulaList -> tbFormulaList
event/equip_publish/wuxingyin/wuxingyin.lua:257  %tbFormulaList -> tbFormulaList
event/equip_publish/wuxingyin/wuxingyin.lua:259  %tbMaterialA -> tbMaterialA
event/equip_publish/wuxingyin/wuxingyin.lua:262  %tbMaterialA -> tbMaterialA
event/equip_publish/wuxingyin/wuxingyin.lua:263  %tbAdditive -> tbAdditive
event/equip_publish/wuxingyin/wuxingyin.lua:264  %tbFormulaList -> tbFormulaList
event/equip_publish/wuxingyin/wuxingyin.lua:268  %tbFormulaList -> tbFormulaList
event/equip_publish/wuxingyin/wuxingyin.lua:299  %tbFormulaList -> tbFormulaList
event/tongwar/event.lua:99  function(...) -> + local arg = {n=select('#',...), ...}
event/tongwar/npc_shizhe.lua:39  %SZTONGNAME_ONETONG -> SZTONGNAME_ONETONG
event/tongwar/npc_shizhe.lua:40  %SZTONGNAME_ONETONG -> SZTONGNAME_ONETONG
event/tongwar/npc_shizhe.lua:338  %N_TTITLE_ID -> N_TTITLE_ID
event/tongwar/npc_shizhe.lua:341  %SZTONGNAME_ONETONG -> SZTONGNAME_ONETONG
event/tongwar/tongwar_gmscript.lua:18  function(...) -> + local arg = {n=select('#',...), ...}
global/hocvocong.lua:1027  for fac, tb in SKILL150_ARRAY -> pairs(SKILL150_ARRAY)
global/smelt_system.lua:148  for i, v in tbFusionInfo -> pairs(tbFusionInfo)
global/smelt_system.lua:175  for i, v in tbFusionInfo -> pairs(tbFusionInfo)
global/mantlesystem/item_starore.lua:52  %tbAwardList -> tbAwardList
global/mantlesystem/item_starstone.lua:33  %tbAwardList -> tbAwardList
global/npcchucnang/thoren.lua:180  so dinh chu (vd 7then) -> chen dau cach
global/smeltsystem/smeltupgrade.lua:80  %tbSmeltUpgradeTable -> tbSmeltUpgradeTable
global/smeltsystem/smeltupgrade.lua:82  %tbSmeltUpgradeTable -> tbSmeltUpgradeTable
global/smeltsystem/smeltupgrade.lua:82  %tbSmeltUpgradeTable -> tbSmeltUpgradeTable
global/smeltsystem/smeltupgrade.lua:87  %tbSmeltUpgradeTable -> tbSmeltUpgradeTable
global/smeltsystem/smeltupgrade.lua:87  %tbSmeltUpgradeTable -> tbSmeltUpgradeTable
global/smeltsystem/smeltupgrade.lua:92  %tbSmeltUpgradeTable -> tbSmeltUpgradeTable
global/smeltsystem/smeltupgrade.lua:92  %tbSmeltUpgradeTable -> tbSmeltUpgradeTable
global/smeltsystem/smeltupgrade.lua:104  %FUSION_MSG -> FUSION_MSG
global/smeltsystem/smeltupgrade.lua:104  %FUSION_MSG -> FUSION_MSG
global/smeltsystem/smeltupgrade.lua:104  %WEN_JING_MONEY -> WEN_JING_MONEY
global/smeltsystem/smeltupgrade.lua:110  %FUSION_MSG -> FUSION_MSG
global/smeltsystem/smeltupgrade.lua:126  %FUSION_MSG -> FUSION_MSG
global/smeltsystem/smeltupgrade.lua:142  for k, v in tbItemNum -> pairs(tbItemNum)
global/smeltsystem/smeltupgrade.lua:143  %GetItemIdx -> GetItemIdx
global/smeltsystem/smeltupgrade.lua:144  %tbSmeltUpgradeTable -> tbSmeltUpgradeTable
global/smeltsystem/smeltupgrade.lua:145  %FUSION_MSG -> FUSION_MSG
global/smeltsystem/smeltupgrade.lua:149  %tbSmeltUpgradeTable -> tbSmeltUpgradeTable
global/smeltsystem/smeltupgrade.lua:150  %FUSION_MSG -> FUSION_MSG
global/smeltsystem/smeltupgrade.lua:159  %FUSION_MSG -> FUSION_MSG
global/smeltsystem/smeltupgrade.lua:164  %FUSION_MSG -> FUSION_MSG
global/smeltsystem/smeltupgrade.lua:169  for k, v in tbItemNum -> pairs(tbItemNum)
global/smeltsystem/smeltupgrade.lua:170  %tbSmeltUpgradeTable -> tbSmeltUpgradeTable
global/smeltsystem/smeltupgrade.lua:173  %FUSION_MSG -> FUSION_MSG
