SkillName	Property	SkillId	Attrib	SkillStyle	SkillIcon	PreCastSpr	ManCastSnd	FMCastSnd	StateSpecialId	StatePriority	IsAura	LRSkill	NeedShadow	AttackRadius	MaxShadowNum	MslsGenerate	MslsGenerateData	CharClass	MisslesForm	ChildSkillId	ChildSkillLevel	ChildSkillNum	BaseSkill	CharAnimId	EventSkillLevel	IsMelee	WaitTime	IsSaveCd	ClientSend	SkillCostType	CostValue	TimePerCast	TimePerCastOnHorse	IsPhysical	TargetOnly	TargetEnemy	TargetAlly	TargetSelf	TargetOther	TargetObj	TargetNoNpc	ByMissle	IsUseAR	StartEvent	StartSkillId	FlyEvent	FlySkillId	FlyEventTime	CollideEvent	CollidSkillId	VanishedEvent	VanishedSkillId	ReqLevel	MaxLevel	EqtLimit	HorseLimit	DoHurt	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	IsExpSkill	Series	ShowAddition	LvlSetScript	LvlSetting1	LvlData1	LvlSetting2	LvlData2	LvlSetting3	LvlData3	LvlSetting4	LvlData4	LvlSetting5	LvlData5	LvlSetting6	LvlData6	LvlSetting7	LvlData7	LvlSetting8	LvlData8	LvlSetting9	LvlData9	LvlSetting10	LvlData10	LvlSetting11	LvlData11	LvlSetting12	LvlData12	LvlSetting13	LvlData13	LvlSetting14	LvlData14	LvlSetting15	LvlData15	LvlSetting16	LvlData16	LvlSetting17	LvlData17	LvlSetting18	LvlData18	LvlSetting19	LvlData19	LvlSetting20	LvlData20	LevelUpScript	SkillDesc
Bạch Hồng Quán Nhật	Công kích ngoại công  	1347	501	0	\spr\Ui\技能图标\150\白虹贯日.spr	\spr\skill\华山\气宗起手抠像.spr	\sound\skill\sound_k003.wav	\sound\skill\sound_k008.wav	0	0	0	0	0	400	15	0	5	2	1	412	-1	1	1	10	-1	0	5		0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	0	1	0	0	0	0	0	0				0	0	0	2	1	\script\skill\huashan.lua	physicsenhance_p	baihong_guanri	seriesdamage_p	baihong_guanri	colddamage_v	baihong_guanri	addskilldamage1	baihong_guanri	addskilldamage2	baihong_guanri	skill_showevent	baihong_guanri	seriesdamage_p	baihong_guanri	skill_eventskilllevel	baihong_guanri	addskilldamage3	baihong_guanri		baihong_guanri		baihong_guanri		baihong_guanri		baihong_guanri		baihong_guanri		baihong_guanri		baihong_guanri		baihong_guanri		baihong_guanri		baihong_guanri		baihong_guanri		Võ công sơ cấp Hoa Sơn, Ngưng Khí Thành Hành, công kích kẻ địch đơn.
Vân Chưng Hà úy	Công kích ngoại công  	1348	501	0	\spr\Ui\技能图标\150\白虹贯日.spr				0	0	0	0	0	400	15	0	0	2	7	275	-1	1	1	10	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	0	1	0	0	0	0	0	0				0	0	0	2	1	\script\skill\huashan.lua	reduceskillcd1	baihong_guanri	reduceskillcd2	baihong_guanri		baihong_guanri		baihong_guanri		baihong_guanri		baihong_guanri		baihong_guanri		baihong_guanri		baihong_guanri		baihong_guanri		baihong_guanri		baihong_guanri		baihong_guanri		baihong_guanri		baihong_guanri		baihong_guanri		baihong_guanri		baihong_guanri		baihong_guanri		baihong_guanri		Võ công sơ cấp Hoa Sơn, Ngưng Khí Thành Hành, công kích kẻ địch đơn.
Kiếm Tông Tổng Quyết	Hỗ trợ bị động	1349	504	3	\spr\Ui\技能图标\150\剑宗总决.spr	\spr\skill\华山\气宗起手抠像.spr			0	0	0	3	0	0	0	0	0	2	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\huashan.lua	addphysicsdamage_p	jianzong_zongjue	attackspeed_yan_v	jianzong_zongjue	attackspeed_v	jianzong_zongjue	manareplenish_v	jianzong_zongjue	manareplenish_p	jianzong_zongjue		jianzong_zongjue	lifemax_yan_p	jianzong_zongjue		jianzong_zongjue		jianzong_zongjue		jianzong_zongjue		jianzong_zongjue		jianzong_zongjue		jianzong_zongjue		jianzong_zongjue		jianzong_zongjue		jianzong_zongjue		jianzong_zongjue		jianzong_zongjue		jianzong_zongjue		jianzong_zongjue		Hoa Sơn Kiếm Tông đại cương, nâng cao năng lực sử dụng các loại kiếm khí.
Dưỡng Ngô Kiếm Pháp	Hỗ trợ bị động	1350	504	3	\spr\Ui\技能图标\150\养吾剑法.spr	\spr\skill\华山\气宗起手抠像.spr			0	0	0	3	0	0	0	0	0	2	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\huashan.lua	deadlystrikeenhance_p	yangwu_jianfa		yangwu_jianfa		yangwu_jianfa		yangwu_jianfa		yangwu_jianfa		yangwu_jianfa		yangwu_jianfa		yangwu_jianfa		yangwu_jianfa		yangwu_jianfa		yangwu_jianfa		yangwu_jianfa		yangwu_jianfa		yangwu_jianfa		yangwu_jianfa		yangwu_jianfa		yangwu_jianfa		yangwu_jianfa		yangwu_jianfa		yangwu_jianfa		Cương Yếu võ học kiếm tông Hoa Sơn, dùng để nâng cao năng lực sử dụng các loại kiếm khí.
Kim Nhạn Hoành Không	Công kích ngoại công  	1351	501	0	\spr\Ui\技能图标\150\金雁横空.spr	\spr\skill\华山\气宗起手抠像.spr	\sound\skill\sound_k003.wav	\sound\skill\sound_k008.wav	0	0	0	0	0	480	15	2	5	2	1	413	-1	3	1	10	-1	0	5		0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1352	0	0	0	0	0	0	0	30	20	0	1	60	0	0	0	0	0				0	0	0	2	1	\script\skill\huashan.lua	seriesdamage_p	jinyan_hengkong	colddamage_v	jinyan_hengkong	addskilldamage1	jinyan_hengkong	addskilldamage2	jinyan_hengkong	skill_attackradius	jinyan_hengkong	skill_attackradius	jinyan_hengkong	skill_eventskilllevel	jinyan_hengkong		jinyan_hengkong	physicsenhance_p	jinyan_hengkong	deadlystrike_p	jinyan_hengkong	skill_desc	jinyan_hengkong		jinyan_hengkong		jinyan_hengkong		jinyan_hengkong		jinyan_hengkong		jinyan_hengkong		jinyan_hengkong		jinyan_hengkong		jinyan_hengkong		jinyan_hengkong		Võ công cao cấp Hoa Sơn, dung hợp hai chiêu thức phá đao kiếm, khắc Nga Mi kiếm, Thúy Yên đao, Ngũ Độc đao.
Hữu Phụng Lai Nghi	Công kích ngoại công  	1352	501	0	\spr\Ui\技能图标\150\金雁横空.spr	\spr\skill\华山\气宗起手抠像.spr	0	0	0	0	0	0	0	0	0	0	0	2	7	275	-1	1	1	10	0	0	0		0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	20	0	1	0	0	0	0	0	0				0	0	0	2	1	\script\skill\huashan.lua	candetonate1	podao_pojian	candetonate2	podao_pojian	candetonate3	podao_pojian		podao_pojian		podao_pojian		podao_pojian		podao_pojian		podao_pojian		podao_pojian		podao_pojian		podao_pojian		podao_pojian		podao_pojian		podao_pojian		podao_pojian		podao_pojian		podao_pojian		podao_pojian		podao_pojian		podao_pojian		Võ công cao cấp Hoa Sơn, dung hợp hai chiêu thức phá đao kiếm, khắc Nga Mi kiếm, Thúy Yên đao.
金雁横空2		1353	501	0	\spr\Ui\技能图标\150\金雁横空.spr	\spr\skill\华山\气宗起手抠像.spr			0	0	0	0	0	0	0	0	0	2	7	275	-1	1	1	14	-1	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1352	0	0	0	0	0	0	0	30	20	0	0	0	0	0		0					0	0	0	-1	1	\script\skill\huashan.lua	reduceskillcd1	jinyan_hengkong	reduceskillcd2	jinyan_hengkong	skill_eventskilllevel	jinyan_hengkong		jinyan_hengkong																																		Võ công cao cấp Hoa Sơn, dung hợp hai chiêu thức phá đao kiếm, khắc Nga Mi kiếm, Thúy Yên đao.
Hi Di Kiếm Pháp	Hỗ trợ bị động	1354	504	3	\spr\Ui\技能图标\150\希夷剑法.spr	\spr\skill\华山\气宗起手抠像.spr			0	0	0	3	0	0	0	0	0	2	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\huashan.lua	addphysicsdamage_p	xiyi_jianfa		xiyi_jianfa		xiyi_jianfa		xiyi_jianfa		xiyi_jianfa		xiyi_jianfa		xiyi_jianfa		xiyi_jianfa		xiyi_jianfa		xiyi_jianfa		xiyi_jianfa		xiyi_jianfa		xiyi_jianfa		xiyi_jianfa		xiyi_jianfa		xiyi_jianfa		xiyi_jianfa		xiyi_jianfa		xiyi_jianfa		xiyi_jianfa		Kiếm Pháp do Hi Di tiên sinh sáng lập, có thể gia tăng uy lực chiêu kiếm
Thiên Thân Đảo Huyền	Công kích ngoại công  	1355	501	0	\spr\Ui\技能图标\150\天绅倒悬.spr	\spr\skill\华山\气宗起手抠像.spr	\sound\skill\sound_k003.wav	\sound\skill\sound_k008.wav	0	0	0	0	0	360	15	3	5	2	6	414	-1	4	1	10	-1	0	2		0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1356	0	0	0	0	0	0	0	50	20	0	1	30	0	0	0	0	0				0	0	0	2	1	\script\skill\huashan.lua	seriesdamage_p	tianshen_daoxuan	colddamage_v	tianshen_daoxuan	addskilldamage1	tianshen_daoxuan	addskilldamage2	tianshen_daoxuan	skill_eventskilllevel	tianshen_daoxuan		tianshen_daoxuan	deadlystrike_p	tianshen_daoxuan	physicsenhance_p	tianshen_daoxuan	skill_desc	tianshen_daoxuan		tianshen_daoxuan		tianshen_daoxuan		tianshen_daoxuan		tianshen_daoxuan		tianshen_daoxuan		tianshen_daoxuan		tianshen_daoxuan		tianshen_daoxuan		tianshen_daoxuan		tianshen_daoxuan		tianshen_daoxuan		Võ công cao cấp kiếm tông Hoa Sơn, dung hợp hai chiêu thức phá thương, hài, khắc cái bang côn và Thiên Nhẫn kích.
天绅倒悬2	Công kích ngoại công  	1356	501	0	\spr\Ui\技能图标\150\天绅倒悬.spr	\spr\skill\华山\气宗起手抠像.spr	0	0	0	0	0	0	0	0	0	0	0	2	7	275	-1	1	1	10	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	0	1	0	0	0	0	0	0				0	0	0	2	1	\script\skill\huashan.lua	candetonate1	pogun_poqiang	candetonate2	pogun_poqiang		pogun_poqiang		pogun_poqiang		pogun_poqiang		pogun_poqiang		pogun_poqiang		pogun_poqiang		pogun_poqiang		pogun_poqiang		pogun_poqiang		pogun_poqiang		pogun_poqiang		pogun_poqiang		pogun_poqiang		pogun_poqiang		pogun_poqiang		pogun_poqiang		pogun_poqiang		pogun_poqiang		Võ công cao cấp kiếm tông Hoa Sơn, dung hợp hai chiêu thức phá thương, hài, khắc cái bang côn và Thiên Nhẫn kích.
