SkillName	Property	SkillId	Attrib	SkillStyle	SkillIcon	PreCastSpr	ManCastSnd	FMCastSnd	StateSpecialId	StatePriority	IsAura	LRSkill	NeedShadow	AttackRadius	MaxShadowNum	MslsGenerate	MslsGenerateData	CharClass	MisslesForm	ChildSkillId	ChildSkillLevel	ChildSkillNum	BaseSkill	CharAnimId	EventSkillLevel	IsMelee	WaitTime	IsSaveCd	ClientSend	SkillCostType	CostValue	TimePerCast	TimePerCastOnHorse	IsPhysical	TargetOnly	TargetEnemy	TargetAlly	TargetSelf	TargetOther	TargetObj	TargetNoNpc	ByMissle	IsUseAR	StartEvent	StartSkillId	FlyEvent	FlySkillId	FlyEventTime	CollideEvent	CollidSkillId	VanishedEvent	VanishedSkillId	ReqLevel	MaxLevel	EqtLimit	HorseLimit	DoHurt	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	IsExpSkill	Series	ShowAddition	LvlSetScript	LvlSetting1	LvlData1	LvlSetting2	LvlData2	LvlSetting3	LvlData3	LvlSetting4	LvlData4	LvlSetting5	LvlData5	LvlSetting6	LvlData6	LvlSetting7	LvlData7	LvlSetting8	LvlData8	LvlSetting9	LvlData9	LvlSetting10	LvlData10	LvlSetting11	LvlData11	LvlSetting12	LvlData12	LvlSetting13	LvlData13	LvlSetting14	LvlData14	LvlSetting15	LvlData15	LvlSetting16	LvlData16	LvlSetting17	LvlData17	LvlSetting18	LvlData18	LvlSetting19	LvlData19	LvlSetting20	LvlData20	LevelUpScript	SkillDesc
Đấu Dũng Đương Tiên		1987		2	\spr\Ui\技能图标\wuhuntang\精忠报国.spr				235	0	0	2	0	0	0	0	0	4	7	275	-1	1	1	11	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\wuhuntang.lua	fastwalkrun_p	fenyongdangxian		fenyongdangxian		fenyongdangxian																																				Tăng tốc độ di chuyển
Trạng thái giảm phục hồi Hám Sơn Kích		1988		0	\spr\Ui\skill\北冥盗海.spr				238	0	0	2	0	200	0	0	0	4	6	275	-1	1	1	11	0	0	0		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\wuhuntang.lua	lifereplenish_dec_p	hanshanji_zi2		hanshanji_zi2		hanshanji_zi2		hanshanji_zi2		hanshanji_zi2		hanshanji_zi2		hanshanji_zi2		hanshanji_zi2		hanshanji_zi2		hanshanji_zi2		hanshanji_zi2		hanshanji_zi2		hanshanji_zi2		hanshanji_zi2		hanshanji_zi2		hanshanji_zi2		hanshanji_zi2		hanshanji_zi2		hanshanji_zi2		hanshanji_zi2		Trạng thái giảm phục hồi Hám Sơn Kích
Nộ	chủ động hỗ trợ 	1989		2	\spr\Ui\技能图标\150\白虹贯日.spr				0	0	0	0	0	0	0	0	0	4	7	275	-1	1	1	9	1	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	-2	0	0	0	0		0					0	0	0	0	1	\script\skill\wuhuntang.lua	fastwalkrun_p	nuqi	special_point_add	nuqi		nuqi		nuqi																																		Công Trung Bỉnh Tính tự tăng Nộ
Nộ 2 (Vứt bỏ)	hỗ trợ bị động 	1990		3	\spr\Ui\技能图标\150\白虹贯日.spr				0	0	0	3	0	0	0	0	0	4	7	0	-1	1	1	9	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	-2	0	0	0	0		0					0	0	0	0	1	\script\skill\wuhuntang.lua		nuqi2		nuqi2		nuqi2																																				
Trung Vũ Lưu Phong BUFF		1991		0	\spr\Ui\技能图标\150\白虹贯日.spr				237	0	0	0	0	0	0	0	0	4	7	275	-1	1	1	9	1	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	-2	0	0	0	0		0					0	0	0	0	1	\script\skill\wuhuntang.lua	resume_life_p	zhongwuliufengBUFF		zhongwuliufengBUFF		zhongwuliufengBUFF		zhongwuliufengBUFF																																		Tỷ lệ phục hồi sinh lực
Phí Huyết Nhẫn	Công kích ngoại công  	1992		0	\spr\Ui\技能图标\wuhuntang\渴饮匈奴血.spr		\sound\skill\sound_k002.wav	\sound\skill\sound_k007.wav	0	0	0	0	0	150	0	0	0	4	6	574	-1	1	1	9	0	0	2		0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	20	-2	1	10	0	1		0					0	0	0	3	1	\script\skill\wuhuntang.lua	firedamage_v	feixuezhiren		feixuezhiren		feixuezhiren	skill_attackradius	feixuezhiren	skill_cost_v	feixuezhiren	seriesdamage_p	feixuezhiren		feixuezhiren		feixuezhiren		feixuezhiren		feixuezhiren		feixuezhiren		feixuezhiren		feixuezhiren		feixuezhiren		feixuezhiren		feixuezhiren		feixuezhiren		feixuezhiren		feixuezhiren		feixuezhiren		Trừ Gian Diệt Nịnh- chiêu thứ 2
Thuộc tính danh hiệu Việt Nam (Thiên Hạ Vô Địch)		1993		3	\spr\Ui\技能图标\shengming_4th.spr				0	0	0	3	0	0	0	0	0	0	7	0	-1	0	0	11	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\playertitle-tianxiawudi.lua	lifemax_yan_v	AddLife	fasthitrecover_yan_v	shoushanghuifu	anti_allres_yan_p	huluequankang	enhancehit_rate	zhongji	skill_enhance	AddSkillEnhance																																Hợp thành kĩ năng công kích
Thuộc tính danh hiệu Việt Nam (Võ Lâm Minh Chủ)		1994		3	\spr\Ui\技能图标\shengming_4th.spr				0	0	0	3	0	0	0	0	0	0	7	0	-1	0	0	11	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\playertitle-wulinmengzhu.lua	lifemax_yan_v	AddLife	fastwalkrun_p	AddSpeed	skill_enhance	AddSkillEnhance	anti_block_rate	chaijiegedang	deadlystrikeenhance_p	deadlystrikeenhance																														H頿 th祅h k� n╪g c玭g k輈h		
Thuộc tính danh hiệu Việt Nam (Thập Đại Cao Thủ)		1995		3	\spr\Ui\技能图标\shengming_4th.spr				0	0	0	3	0	0	0	0	0	0	7	0	-1	0	0	11	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\playertitle-shidagaoshou.lua	lifemax_yan_v	AddLife	fastwalkrun_p	AddSpeed	skill_enhance	AddSkillEnhance	anti_block_rate	chaijiegedang																																H頿 th祅h k� n╪g c玭g k輈h		
Thuộc tính danh hiệu Việt Nam (Đệ Nhất Bang)		1996		3	\spr\Ui\技能图标\shengming_4th.spr				0	0	0	3	0	0	0	0	0	0	7	0	-1	0	0	11	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\playertitle-diyibang.lua	lifemax_yan_v	AddLife	skill_enhance	AddSkillEnhance																																						Hợp thành kĩ năng công kích
