kieu	ids	kind	CharacterType	ResFilePath	normal_res	spr_info	nguon_hang	actions	path	uid	trang_thai	sua	ghi_chu
passerby410	2467,2476	co	NormalNpc	spr\npcres\passerby\passerby410	co	co	JX1	FightStand,NormalStand1,NormalStand2	\spr\npcres\passerby\passerby410\passerby410_st01.spr	4C33B8F2	JX1:updatejx15.pak		
boss202	2607	co	NormalNpc	spr\npcres\boss\boss202	co	co	JX1	FightStand	\spr\npcres\boss\boss202\boss202_st01.spr	5F4D1DF7	JX1:updatejx16.pak		
boss202	2607	co	NormalNpc	spr\npcres\boss\boss202	co	co	JX1	NormalStand1,NormalStand2,SitDown	\spr\npcres\boss\boss202\boss202_st02.spr	5863FBA2	JX1:updatejx16.pak		
boss202	2607	co	NormalNpc	spr\npcres\boss\boss202	co	co	JX1	FightWalk,NormalWalk,FightRun,NormalRun,JunpFly	\spr\npcres\boss\boss202\boss202_wlk.spr	3F8608F9	JX1:updatejx16.pak		
boss202	2607	co	NormalNpc	spr\npcres\boss\boss202	co	co	JX1	Wound	\spr\npcres\boss\boss202\boss202_bat.spr	0D47718E	JX1:updatejx16.pak		
boss202	2607	co	NormalNpc	spr\npcres\boss\boss202	co	co	JX1	Die	\spr\npcres\boss\boss202\boss202_die.spr	F2E29DD9	JX1:updatejx16.pak		
boss202	2607	co	NormalNpc	spr\npcres\boss\boss202	co	co	JX1	Attack1	\spr\npcres\boss\boss202\boss202_at01.spr	DD4A0268	JX1:updatejx16.pak		
boss202	2607	co	NormalNpc	spr\npcres\boss\boss202	co	co	JX1	Attack2,Magic	\spr\npcres\boss\boss202\boss202_at02.spr	DE68E023	JX1:updatejx16.pak		
passerby404	2468	co	NormalNpc	spr\npcres\passerby\passerby404	co	co	JX1	FightStand,NormalStand1,NormalStand2	\spr\npcres\passerby\passerby404\passerby404_st01.spr	B79AD93B	JX1:updatejx15.pak		
passerby406	2469	co	NormalNpc	spr\npcres\passerby\passerby406	co	co	JX1	FightStand,NormalStand1,NormalStand2	\spr\npcres\passerby\passerby406\passerby406_st01.spr	ED59EB83	JX1:updatejx15.pak		
passerby408	2470	co	NormalNpc	spr\npcres\passerby\passerby408	co	co	JX1	FightStand,NormalStand1,NormalStand2	\spr\npcres\passerby\passerby408\passerby408_st01.spr	D423598A	JX1:updatejx15.pak		
passerby180	2471	co	NormalNpc	spr\npcres\passerby\passerby180	co	co	JX1	FightStand,NormalStand1,SitDown	\spr\npcres\passerby\passerby180\passerby180_st.spr	50B79BF8	JX1:spr.pak		
passerby180	2471	co	NormalNpc	spr\npcres\passerby\passerby180	co	co	JX1	NormalStand2	\spr\npcres\passerby\passerby180\passerby180_pst.spr	C1AEEA45	JX1:spr.pak		
passerby319	2472	co	NormalNpc	spr\npcres\passerby\passerby319	co	co	JX1	FightStand	\spr\npcres\passerby\passerby319\qinglvhupizhuang(nan)_st01.spr	173057DE	JX1:updatejx15.pak		
passerby319	2472	co	NormalNpc	spr\npcres\passerby\passerby319	co	co	JX1	NormalStand1,NormalStand2,SitDown	\spr\npcres\passerby\passerby319\qinglvhupizhuang(nan)_st02.spr	12319683	JX1:updatejx15.pak		
passerby319	2472	co	NormalNpc	spr\npcres\passerby\passerby319	co	co	JX1	FightWalk,NormalWalk,FightRun,NormalRun,JunpFly	\spr\npcres\passerby\passerby319\qinglvhupizhuang(nan)_wlk.spr	2D8574A4	JX1:updatejx15.pak		
passerby319	2472	co	NormalNpc	spr\npcres\passerby\passerby319	co	co	JX1	Wound	\spr\npcres\passerby\passerby319\qinglvhupizhuang(nan)_bat.spr	7A1C3B04	JX1:updatejx15.pak		
passerby319	2472	co	NormalNpc	spr\npcres\passerby\passerby319	co	co	JX1	Die	\spr\npcres\passerby\passerby319\qinglvhupizhuang(nan)_die.spr	1CBC16AD	JX1:updatejx15.pak		
passerby319	2472	co	NormalNpc	spr\npcres\passerby\passerby319	co	co	JX1	Attack1	\spr\npcres\passerby\passerby319\qinglvhupizhuang(nan)_at01.spr	4929E5BD	JX1:updatejx15.pak		
passerby319	2472	co	NormalNpc	spr\npcres\passerby\passerby319	co	co	JX1	Attack2,Magic	\spr\npcres\passerby\passerby319\qinglvhupizhuang(nan)_at02.spr	442B2562	JX1:updatejx15.pak		
passerby403	2473,2600	co	NormalNpc	spr\npcres\passerby\passerby403	co	co	JX1	FightStand,NormalStand1,NormalStand2	\spr\npcres\passerby\passerby403\passerby403_st01.spr	BC4B32BB	JX1:updatejx15.pak		
passerby409	2474	co	NormalNpc	spr\npcres\passerby\passerby409	co	co	JX1	FightStand,NormalStand1,NormalStand2	\spr\npcres\passerby\passerby409\passerby409_st01.spr	F6EBA342	JX1:updatejx15.pak		
passerby345	2475	co	NormalNpc	spr\npcres\passerby\passerby345	co	co	JX1	FightStand	\spr\npcres\passerby\passerby345\passerby345_st01.spr	0858CD16	JX1:updatejx15.pak		
passerby345	2475	co	NormalNpc	spr\npcres\passerby\passerby345	co	co	JX1	NormalStand1,NormalStand2,SitDown	\spr\npcres\passerby\passerby345\passerby345_st02.spr	04735795	JX1:updatejx15.pak		
passerby345	2475	co	NormalNpc	spr\npcres\passerby\passerby345	co	co	JX1	FightWalk,NormalWalk,FightRun,NormalRun,JunpFly	\spr\npcres\passerby\passerby345\passerby345_wlk.spr	C6757EB2	JX1:updatejx15.pak		
passerby345	2475	co	NormalNpc	spr\npcres\passerby\passerby345	co	co	JX1	Wound	\spr\npcres\passerby\passerby345\passerby345_bat.spr	00513A0D	JX1:updatejx15.pak		
passerby345	2475	co	NormalNpc	spr\npcres\passerby\passerby345	co	co	JX1	Die	\spr\npcres\passerby\passerby345\passerby345_die.spr	301044A4	JX1:updatejx15.pak		
