nhanvat	part	bang	dong_tep	equipNo	k	action	o	path	uid	cham_toi	trang_thai
MainMan	RightWeapon	ManRightWeapon.txt	270	268	0	SwordShieldWFreeStand	MA_RW_164_ST01.spr	\spr\npcres\man\MA_RW_164_ST01.spr	2E0B22B9	1	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	1	ShieldSwordWFreeStand	MA_RW_164_ST01.spr	\spr\npcres\man\MA_RW_164_ST01.spr	2E0B22B9	0	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	2	FreeStand1	MA_RW_164_ST01.spr	\spr\npcres\man\MA_RW_164_ST01.spr	2E0B22B9	0	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	3	FreeStand2	MA_RW_164_ST02.spr	\spr\npcres\man\MA_RW_164_ST02.spr	2B81293B	0	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	4	FreeStand3	MA_RW_000_ST03.spr	\spr\npcres\man\MA_RW_000_ST03.spr	EE61338D	0	JX1:spr.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	5	MeleeWStand	MA_RW_000_ST04.spr	\spr\npcres\man\MA_RW_000_ST04.spr	EBFF260F	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	270	268	6	RangeWStand	MA_RW_000_ST05.spr	\spr\npcres\man\MA_RW_000_ST05.spr	E5752C81	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	270	268	7	DoubleWStand	MA_RW_000_ST06.spr	\spr\npcres\man\MA_RW_000_ST06.spr	E683D303	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	270	268	8	SwordShieldWStand	MA_RW_164_ST07.spr	\spr\npcres\man\MA_RW_164_ST07.spr	3F37E5B5	1	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	9	ShieldSwordWStand	MA_RW_164_ST07.spr	\spr\npcres\man\MA_RW_164_ST07.spr	3F37E5B5	0	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	10	GuqinWStand1	MA_RW_000_ST08.spr	\spr\npcres\man\MA_RW_000_ST08.spr	FD97CC07	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	270	268	11	GuqinWStand2	MA_RW_000_ST09.spr	\spr\npcres\man\MA_RW_000_ST09.spr	FF2DF379	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	270	268	12	FreeWalk	MA_RW_000_WK01.spr	\spr\npcres\man\MA_RW_000_WK01.spr	6FD3F30B	0	JX1:spr.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	13	NormalWalk	MA_RW_000_WK01.spr	\spr\npcres\man\MA_RW_000_WK01.spr	6FD3F30B	0	JX1:spr.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	14	MeleeWWalk	MA_RW_000_WK02.spr	\spr\npcres\man\MA_RW_000_WK02.spr	6969F98D	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	270	268	15	RangeWWalk	MA_RW_000_WK03.spr	\spr\npcres\man\MA_RW_000_WK03.spr	6AE7EC0F	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	270	268	16	DoubleWWalk	MA_RW_000_WK04.spr	\spr\npcres\man\MA_RW_000_WK04.spr	647D9281	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	270	268	17	SwordShieldWWalk	MA_RW_164_WK05.spr	\spr\npcres\man\MA_RW_164_WK05.spr	3CA1A27E	1	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	18	ShieldSwordWWalk	MA_RW_164_WK05.spr	\spr\npcres\man\MA_RW_164_WK05.spr	3CA1A27E	0	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	19	GuqinWWalk	MA_RW_000_WK06.spr	\spr\npcres\man\MA_RW_000_WK06.spr	63018F85	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	270	268	20	FreeRun	MA_RW_000_RN01.spr	\spr\npcres\man\MA_RW_000_RN01.spr	A62F36BB	0	JX1:spr.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	21	NormalRun	MA_RW_000_RN01.spr	\spr\npcres\man\MA_RW_000_RN01.spr	A62F36BB	0	JX1:spr.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	22	MeleeWRun	MA_RW_000_RN02.spr	\spr\npcres\man\MA_RW_000_RN02.spr	A3A53D3D	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	270	268	23	RangeWRun	MA_RW_000_RN03.spr	\spr\npcres\man\MA_RW_000_RN03.spr	BD3323BF	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	270	268	24	DoubleWRun	MA_RW_000_RN04.spr	\spr\npcres\man\MA_RW_000_RN04.spr	BE49D631	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	270	268	25	SwordShieldWRun	MA_RW_164_RN05.spr	\spr\npcres\man\MA_RW_164_RN05.spr	76FDF448	1	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	26	ShieldSwordWRun	MA_RW_164_RN06.spr	\spr\npcres\man\MA_RW_164_RN06.spr	700BFACA	0	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	27	GuqinWRun	MA_RW_000_RN07.spr	\spr\npcres\man\MA_RW_000_RN07.spr	B6EBC9B7	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	270	268	28	FreeWound	MA_RW_000_IJ01.spr	\spr\npcres\man\MA_RW_000_IJ01.spr	293E712D	0	JX1:spr.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	29	MeleeWWound	MA_RW_000_IJ02.spr	\spr\npcres\man\MA_RW_000_IJ02.spr	2AB467AF	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	270	268	30	RangeWWound	MA_RW_000_IJ03.spr	\spr\npcres\man\MA_RW_000_IJ03.spr	27C26A21	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	270	268	31	DoubleWWound	MA_RW_000_IJ04.spr	\spr\npcres\man\MA_RW_000_IJ04.spr	215810A3	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	270	268	32	SwordShieldWWound	MA_RW_164_IJ05.spr	\spr\npcres\man\MA_RW_164_IJ05.spr	F98C2390	1	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	33	ShieldSwordWWound	MA_RW_164_IJ05.spr	\spr\npcres\man\MA_RW_164_IJ05.spr	F98C2390	0	JX1:updatejx15.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	34	GuqinWWound	MA_RW_000_IJ06.spr	\spr\npcres\man\MA_RW_000_IJ06.spr	3C6C0DA7	0	THIEU CA HAI
MainMan	RightWeapon	ManRightWeapon.txt	270	268	35	FreeDie	MA_RW_000_DE01.spr	\spr\npcres\man\MA_RW_000_DE01.spr	45EEF038	0	JX1:spr.pak
MainMan	RightWeapon	ManRightWeapon.txt	270	268	36	MeleeWDie	MA_RW_000_DE02.spr	\spr\npcres\man\MA_RW_000_DE02.spr	4764E6BA	0	THIEU CA HAI
