uid	offset	size	flag	csize	path
0008835F	32	42469	32	35089	\spr\npcres\man\MA_LH_140_AT03.spr
0011B246	35121	25004	32	20943	\spr\npcres\man\MA_RH_128_IJ01.spr
001B86E6	56064	19518	32	12948	\spr\npcres\woman\FM_LH_140_ST02.spr
00292D43	69012	110404	32	96336	\spr\npcres\man\MA_RW_196_HA01.spr
00299B53	165348	59991	32	42963	\spr\npcres\woman\FM_LH_143_HW01.spr
003421B6	208311	4962	32	4732	\spr\item\equip\weapon\obj-shield07.spr
003BA9D5	213043	31956	32	23989	\spr\npcres\woman\FM_HD_135_HW01.spr
0043D0AB	237032	73048	32	63502	\spr\npcres\woman\FM_RW_188_HI01.spr
00472546	300534	141686	32	99893	\spr\npcres\man\MA_LH_130_ST02.spr
006609EE	400427	69614	32	59275	\spr\npcres\man\MA_HR_138_MG04.spr
0072C9BC	459702	151702	32	123913	\spr\npcres\woman\FM_LW_200_HW01.spr
00872B70	583615	23145	32	18092	\spr\npcres\woman\FM_HD_153_RN03.spr
0088208B	601707	55643	32	48363	\spr\npcres\woman\FM_RW_195_HI01.spr
009AEC79	650070	29186	32	24005	\spr\npcres\woman\FM_LH_134_MG01.spr
00A8B563	674075	141601	32	111583	\spr\npcres\woman\FM_BD_131_MG03.spr
00ABBC85	785658	19655	32	14136	\spr\npcres\woman\FM_HD_141_MG03.spr
00BE972B	799794	73480	32	63009	\spr\npcres\woman\FM_RW_200_DE05.spr
00C7D35C	862803	71179	32	61524	\spr\npcres\man\MA_HR_138_AT03.spr
00CD51F2	924327	40783	32	26841	\spr\npcres\woman\FM_RH_142_ST06.spr
00D7D2E4	951168	75249	32	59018	\spr\npcres\woman\FM_RH_135_ZZ01.spr
00DE9D24	1010186	32229	32	25133	\spr\npcres\man\MA_HR_130_RN04.spr
00E23A2E	1035319	83003	32	58444	\spr\npcres\man\MA_LH_138_ST05.spr
00E7791D	1093763	24616	32	20870	\spr\npcres\woman\FM_HD_129_DE03.spr
00FBAD31	1114633	200127	32	168836	\spr\npcres\woman\FM_BD_134_DE05.spr
00FBF3B9	1283469	39081	32	31036	\spr\npcres\man\MA_HR_150_WK04.spr
01030293	1314505	94011	32	74142	\spr\npcres\man\MA_HR_128_ST02.spr
