key	value
G_THIEFSKILL_0	Lấy cắp ngân lượng trong người của %s và ủng hộ %d lượng cho tiền phương
G_THIEFSKILL_1	Lấy cắp thành công ngân lượng của %s, ủng hộ %d lượng cho tiền phương! 
G_THIEFSKILL_2	Lấy cắp thành công
G_THIEFSKILL_3	Lấy cắp thành công
G_THIEFSKILL_4	%s cố lấy cắp tiền của bạn, nhưng không thành công! 
G_THIEFSKILL_5	Bạn không lấy được ngân lượng của %s! 
G_THIEFSKILL_6	Chưa lấy cắp được
G_THIEFSKILL_7	Chưa lấy cắp được
G_THIEFSKILL_8	Chỉ số sinh mạng hiện tại của %s là: %d / %d 
G_THIEFSKILL_9	Tình báo đối phương
G_THIEFSKILL_10	Chỉ số nội lực hiện tại của %s là: %d / %d 
G_THIEFSKILL_11	Số tiền %s hiện có: %d lượng 

G_FACTION_0	Thiếu Lâm phái

G_S_GOLD	hệ Kim
G_S_WOOD	hệ Mộc
G_S_WATER	hệ Thủy
G_S_FIRE	hệ Hỏa
G_S_EARTH	hệ Thổ 
G_S_NONE	Vô hệ 

G_LUCKSTAR	AddGlobalNews ( [ [Chúc mừng! Chúc mừng! Người chơi: %s trở thành ngôi sao may mắn của ngày hôm nay! ]]) ;

G_FACTION_NEW	Mới nhập giang hồ 
G_FACTION_OLD	giang hồ hiệp khách

G_PLAYERTONG_0	Đã hết thời gian để cho các bang hội đuổi bớt người thi đấu
G_PLAYERTONG_1	Đã hết thời gian để cho các bang hội đuổi bớt người thi đấu
G_PLAYERTONG_2	Đã hết thời gian để cho các bang hội đổi người
G_PLAYERTONG_3	Bạn đã bị đuổi khỏi bang hội
G_PLAYERTONG_4	Chức vị của bạn trong bang hội đã thay đổi
G_PLAYERTONG_5	Không thể thay đổi phe phái trong liên minh của bang hội
G_PLAYERTONG_6	Mỗi lần chỉ giữ được nhiều nhất %d vạn lượng! 
G_PLAYERTONG_7	Mỗi lần chỉ lấy được nhiều nhất %d vạn lượng! 
G_PLAYERTONG_8	Quá nhiều tiền rồi, không để thêm được! 
G_PLAYERTONG_9	Thời gian thao tác đã hết, không thể thiết lập liên minh! 
G_PLAYERTONG_10	 Minh Chủ 
G_PLAYERTONG_11	Chỉ có Bang chủ mới có thể mời gia nhập liên minh bang hội
G_PLAYERTONG_12	Thành viên của liên minh bang hội này khộng thể gia nhập liên minh bang hội khác
G_PLAYERTONG_13	 Bạn đến gặp %s xin phép gia nhập liên minh bang hội! 
G_PLAYERTONG_14	Bang hội phát tiền, số lượng có nhầm lẫn
G_PLAYERTONG_15	Mỗi người mỗi lần chỉ được phát nhiều nhất một ức (tức một trăm triệu) lượng
G_PLAYERTONG_16	Chỉ có Bang chủ mới có thể phát tiền
G_PLAYERTONG_17	Chỉ có thể phát tiền cho các hội viên trực tuyến (online) 

G_NPC_0	Nhân vật Nam 
G_NPC_1	Nhân vật Nữ  
G_NPC_2	Băng
G_NPC_3	Độc
G_NPC_4	 Loạn 
G_NPC_5	Hôn mê 

G_PLAYER_0	WriteLog([[PlayerIndex Error:%s:%s]])
G_PLAYER_1	Không thể sử dụng điểm kỹ năng để thăng cấp kỹ năng %s của bạn
G_PLAYER_2	Thăng cấp kỹ năng thất bại
G_PLAYER_3	Kỹ năng %s của bạn đã đến cực hạn, không thể thăng cấp thêm nữa 
G_PLAYER_4	Kỹ năng chiến đấu của Bạn phải đạt đến cấp %d mới có thể thăng cấp %s kỹ năng. 
G_PLAYER_5	Kim Hoàn Bảo, chuyển nhập điểm số thành công! 
