EqType	FightStand	NormalStand1	NormalStand2	FightWalk	NormalWalk	FightRun	NormalRun	Wound	Die	Attack1	Attack2	Magic	SitDown	JunpFly
空手														
单手剑1														
单手剑2														
单手剑3														
单手刀1														
单手刀2														
单手刀3														
长枪类1														
长枪类2														
长枪类3														
长棍类1														
长棍类2														
长棍类3														
双剑类1														
双剑类2														
双剑类3														
双锤类1														
双锤类2														
双锤类3														
暗器														
单手剑4														
单手剑5														
单手刀4														
单手刀5														
长枪类4														
长枪类5														
长棍类4														
长棍类5														
双剑类4														
双剑类5														
双锤类4														
双锤类5														
单手刀6(金系)														
单手刀7(水系)														
单手刀8(木系)														
单手刀9(土系)														
单手剑6(水系)														
单手剑7(土系)														
长枪类6(金系)														
长枪类7(火系)														
长棍类6(金系)														
长棍类7(火系)														
双剑类6(水系)														
双锤类6(金系)														
双缠手-金														
双缠手-水														
双缠手-木														
双缠手-火														
长棍-金棍														
长棍-火棍														
长枪-金枪														
长枪-火枪														
单手刀-金														
单手刀-木														
单手刀-水														
单手火刀-火														
单手刀-雷														
单手剑-水														
单手剑-雷														
单手雷剑-雷														
双锤-金														
双刀-水														
单手刀-发光1														
单手剑-发光1														
单手火刀-发光1														
单手雷剑-发光1														
长棍-发光1														
长枪-发光1														
双锤-发光1														
双刀-发光1														
双缠手-发光1														
双爪-发光1														
空手-发光1														
单手刀-发光2														
单手剑-发光2														
单手火刀-发光2														
单手雷剑-发光2														
长棍-发光2														
长枪-发光2														
双锤-发光2														
双刀-发光2														
双缠手-发光2														
双爪-发光2														
空手-发光2														
鸣凤之皈依缠手														
鸣凤之极乐僧棍														
鸣凤之虚空戒刀														
鸣凤之战神锤														
鸣凤之英雄枪														
鸣凤之霸王宝刀														
鸣凤之散花长剑														
鸣凤之凌霄缠手														
鸣凤之万花宝刀														
鸣凤之芳华双刀														
鸣凤之阎罗缠手														
鸣凤之冥王宝刀														
鸣凤之潋滟飞刀														
鸣凤之天荒袖箭														
鸣凤之天骄飞镖														
鸣凤之铁血缠手														
鸣凤之光复杖														
鸣凤之煜日枪														
鸣凤之炽地刀														
鸣凤之空明剑														
鸣凤之蓬莱剑														
鸣凤之九天寒铁														
鸣凤之参商剑														
紫蟒之结芦剑														
白虎之子衿剑														
鸣凤之湛宇剑														
腾龙之菩提缠手														
腾龙之如来法棍														
腾龙之无量戒刀														
腾龙之开天神锤														
腾龙之辟地枪														
腾龙之混元宝刀														
腾龙之飞天长剑														
腾龙之冰魄缠手														
腾龙之倾城宝刀														
腾龙之百香鸳鸯刀														
腾龙之万毒缠手														
腾龙之万灵血刃														
腾龙之混沌飞刀														
腾龙之弑神袖箭														
腾龙之风暴飞镖														
腾龙之豪情缠手														
腾龙之聚义杖														
腾龙之炎煌枪														
腾龙之焚天宝刀														
腾龙之玉虚神剑														
腾龙之玄天神剑														
腾龙之方元宝刀														
腾龙之苍穹神剑														
腾龙之溯游剑														
腾龙之伊水剑														
星霜之苦谛缠手														
星霜之灭谛法棍														
星霜之道谛戒刀														
星霜之吞邪神锤														
星霜之鎏金枪														
星霜之履霜宝刀														
星霜之落英宝剑														
