武器类型	角色动作	特殊帧	方向	贴图顺序
276,277,278,279	RideStand	0	3	7,12,13,14,5,16,9,4,1,0,6,8
276,277,278,279	RideStand	0	4	7,12,13,5,6,14,16,9,4,1,0,8
276,277,278,279	RideStand	0	6	8,6,12,13,5,14,7,16,0,4,9,1
276,277,278,279	RideStand	0	7	8,6,12,13,14,5,16,9,4,1,0,7
276,277,278,279	RideStand	0	8	14,16,13,8,6,4,1,9,5,12,7,0
276,277,278,279	RideStand2	0	2	14,16,13,9,7,4,1,5,12,6,8,0
276,277,278,279	RideStand2	0	3	7,12,13,14,5,16,9,4,1,0,6,8
276,277,278,279	RideStand2	0	4	7,12,13,5,6,14,16,9,4,1,0,8
276,277,278,279	RideStand2	0	6	8,6,12,13,5,14,7,16,0,4,9,1
276,277,278,279	RideStand2	0	7	8,6,12,13,14,5,16,9,4,1,0,7
276,277,278,279	RideStand2	0	8	14,16,13,8,6,4,1,9,5,12,7,0
276,277,278,279	RideRun	0	3	7,12,13,14,5,16,4,1,0,6,8,9
276,277,278,279	RideRun	0	4	7,12,13,5,6,14,16,9,4,1,0,8
276,277,278,279	RideRun	0	5	12,13,8,6,5,14,7,16,0,9,4,1
276,277,278,279	RideRun	0	6	8,6,12,13,5,14,7,16,0,4,9,1
276,277,278,279	RideRun	0	7	8,6,12,13,14,5,16,9,4,1,0,7
276,277,278,279	RideRun	0	8	9,14,16,13,8,6,4,1,5,12,0,7
276,277,278,279	RideWalk	0	3	7,12,13,14,5,16,9,4,1,0,6,8
276,277,278,279	RideWalk	0	4	7,12,13,5,6,14,16,9,4,1,0,8
276,277,278,279	RideWalk	0	5	12,13,8,6,5,14,7,16,0,4,9,1
276,277,278,279	RideWalk	0	6	8,6,12,13,5,14,7,16,0,4,9,1
276,277,278,279	RideWalk	0	7	8,6,12,13,14,5,16,9,4,1,0,7
276,277,278,279	RideWalk	0	8	14,16,13,8,6,4,1,9,5,12,7,0
276,277,278,279	RideWound	0	3	7,12,13,14,5,16,9,4,1,0,6,8
276,277,278,279	RideWound	0	4	7,12,13,5,6,14,16,9,4,1,0,8
276,277,278,279	RideWound	0	5	12,13,8,6,5,14,16,0,7,4,9,1
276,277,278,279	RideWound	0	6	8,6,12,13,5,14,7,16,0,4,9,1
276,277,278,279	RideWound	0	7	8,6,12,13,14,5,16,9,4,1,0,7
276,277,278,279	RideWound	0	8	14,16,13,8,6,4,1,9,5,12,7,0
