TitleName	TitleId	SprPath	Color	SpeicalGraphic	FaceId	AuraSkill	AuraSkillLevel	ExtSkill1	ExtSkillLevel1	ExtSkill2	ExtSkillLevel2	ExtSkill3	ExtSkillLevel3	ExtSkill4	ExtSkillLevel4	ExtSkill5	ExtSkillLevel5	Memo	HidSkill1	HidSkillLevel1	HidSkill2	HidSkillLevel2	HidSkill3	HidSkillLevel3	HidSkill4	HidSkillLevel4	HidSkill5	HidSkillLevel5
Binh sÜ 	1		225,0,225	0	0	0	0	0	0	0	0	0	0	0	0	0	0											
HiÖu óy 	2		225,0,225	7	0	0	0	0	0	0	0	0	0	0	0	0	0											
Thèng LÜnh 	3		225,0,225	13	0	0	0	0	0	0	0	0	0	0	0	0	0											
Phã t­íng 	4		225,0,225	21	0	0	0	0	0	0	0	0	0	0	0	0	0											
§¹i t­íng 	5		225,0,225	32	0	0	0	0	0	0	0	0	0	0	0	0	0											
Nguyªn So¸i 	6		225,0,225	43	0	0	0	0	0	0	0	0	0	0	0	0	0											
Vâ L©m §¹i héi Tæng l·nh ®éi	7		225,0,225	84	0	0	0	0	0	0	0	0	0	0	0	0	0											
Vâ L©m §¹i héi ThËp ®¹i cao thñ 	8		225,0,225	84	0	0	0	0	0	0	0	0	0	0	0	0	0											
Vâ L©m §¹i héi ThiÕu L©m cao thñ 	9		225,0,225	83	0	0	0	0	0	0	0	0	0	0	0	0	0											
Vâ L©m §¹i héi Thiªn V­¬ng cao thñ 	10		225,0,225	83	0	0	0	0	0	0	0	0	0	0	0	0	0											
Vâ L©m §¹i héi §­êng M«n cao thñ 	11		225,0,225	83	0	0	0	0	0	0	0	0	0	0	0	0	0											
Vâ L©m §¹i héi Ngò §éc cao thñ 	12		225,0,225	83	0	0	0	0	0	0	0	0	0	0	0	0	0											
Vâ L©m §¹i héi Nga Mi cao thñ 	13		225,0,225	83	0	0	0	0	0	0	0	0	0	0	0	0	0											
Vâ L©m §¹i héi Thóy Yªn cao thñ 	14		225,0,225	83	0	0	0	0	0	0	0	0	0	0	0	0	0											
Vâ L©m §¹i héi C¸i Bang cao thñ 	15		225,0,225	83	0	0	0	0	0	0	0	0	0	0	0	0	0											
Vâ L©m §¹i héi Thiªn NhÉn  cao thñ 	16		225,0,225	83	0	0	0	0	0	0	0	0	0	0	0	0	0											
Vâ L©m §¹i héi Vâ §ang cao thñ 	17		225,0,225	83	0	0	0	0	0	0	0	0	0	0	0	0	0											
Vâ L©m §¹i héi C«n L«n cao thñ 	18		225,0,225	83	0	0	0	0	0	0	0	0	0	0	0	0	0											
Vâ L©m §¹i héi tuyÓn thñ 	19		225,0,225	82	0	0	0	0	0	0	0	0	0	0	0	0	0											
ThiÕu L©m kiÖt xuÊt	20		225,0,225	81	0	0	0	0	0	0	0	0	0	0	0	0	0											
Thiªn V­¬ng kiÖt xuÊt	21		225,0,225	81	0	0	0	0	0	0	0	0	0	0	0	0	0											
§­êng M«n  kiÖt xuÊt	22		225,0,225	81	0	0	0	0	0	0	0	0	0	0	0	0	0											
Ngò §éc kiÖt xuÊt	23		225,0,225	81	0	0	0	0	0	0	0	0	0	0	0	0	0											
Nga Mi  kiÖt xuÊt	24		225,0,225	81	0	0	0	0	0	0	0	0	0	0	0	0	0											
Thóy Yªn kiÖt xuÊt	25		225,0,225	81	0	0	0	0	0	0	0	0	0	0	0	0	0											
C¸i Bang kiÖt xuÊt	26		225,0,225	81	0	0	0	0	0	0	0	0	0	0	0	0	0											
Thiªn NhÉn  kiÖt xuÊt	27		225,0,225	81	0	0	0	0	0	0	0	0	0	0	0	0	0											
Vâ §ang  kiÖt xuÊt	28		225,0,225	81	0	0	0	0	0	0	0	0	0	0	0	0	0											
C«n L«n  kiÖt xuÊt	29		225,0,225	81	0	0	0	0	0	0	0	0	0	0	0	0	0											
Vâ L©m §¹i héi phãng viªn chiÕn tr­êng	30		225,0,225	0	0	0	0	0	0	0	0	0	0	0	0	0	0											
Vâ L©m §¹i héi nh©n viªn c«ng t¸c	31		225,0,225	0	0	0	0	0	0	0	0	0	0	0	0	0	0											
Vâ L©m §¹i héi ThiÕu L©m Qu¸n qu©n	32		225,0,225	84	0	0	0	0	0	0	0	0	0	0	0	0	0											
Vâ L©m §¹i héi Thiªn V­¬ng  Qu¸n qu©n	33		225,0,225	84	0	0	0	0	0	0	0	0	0	0	0	0	0											
Vâ L©m §¹i héi §­êng M«n Qu¸n qu©n	34		225,0,225	84	0	0	0	0	0	0	0	0	0	0	0	0	0											
Vâ L©m §¹i héi Ngò §éc Qu¸n qu©n	35		225,0,225	84	0	0	0	0	0	0	0	0	0	0	0	0	0											
Vâ L©m §¹i héi Nga Mi Qu¸n qu©n	36		225,0,225	84	0	0	0	0	0	0	0	0	0	0	0	0	0											
Vâ L©m §¹i héi Thóy Yªn Qu¸n qu©n	37		225,0,225	84	0	0	0	0	0	0	0	0	0	0	0	0	0											
Vâ L©m §¹i héi C¸i Bang Qu¸n qu©n	38		225,0,225	84	0	0	0	0	0	0	0	0	0	0	0	0	0											
Vâ L©m §¹i héi Thiªn NhÉn Qu¸n qu©n	39		225,0,225	84	0	0	0	0	0	0	0	0	0	0	0	0	0											
Vâ L©m §¹i héi Vâ §ang Qu¸n qu©n	40		225,0,225	84	0	0	0	0	0	0	0	0	0	0	0	0	0											
Vâ L©m §¹i héi C«n L«n Qu¸n qu©n	41		225,0,225	84	0	0	0	0	0	0	0	0	0	0	0	0	0											
Vâ L©m §¹i héi ThiÕu L©m ¸ qu©n	42		225,0,225	81	0	0	0	0	0	0	0	0	0	0	0	0	0											
Vâ L©m §¹i héi Thiªn V­¬ng ¸ qu©n	43		225,0,225	81	0	0	0	0	0	0	0	0	0	0	0	0	0											
Vâ L©m §¹i héi §­êng M«n ¸ qu©n	44		225,0,225	81	0	0	0	0	0	0	0	0	0	0	0	0	0											
