Faction	TaskLevel	TaskStep	TaskName	TaskRequirements	TaskPosition	TaskAward
 Hoa S¬n	10	0	NhËn Thñy PhÈm Trµ H­¬ng (1/3)	§èi tho¹i víi Ph­¬ng T­ ViÔn cña ph¸i Hoa S¬n ®Ó nhËn nhiÖm vô m«n ph¸i Hoa S¬n cÊp 10	Ph­¬ng T­ ViÔn (987/182/185)	Kü n¨ng cÊp 10 ph¸i Hoa S¬n
 Hoa S¬n	10	10	NhËn Thñy PhÈm Trµ H­¬ng (2/3)	§Õn ph¸i Hoa S¬n chç con s«ng ngoµi cæng Nam dïng Thñy BiÒu ®Ó ®ùng Thanh LiÖt TuyÒn Thñy	Ph­¬ng T­ ViÔn (987/182/185), con s«ng (987/154/203)	Kü n¨ng cÊp 10 ph¸i Hoa S¬n
 Hoa S¬n	10	20	NhËn Thñy PhÈm Trµ H­¬ng (3/3)	§em Thanh LiÖt TuyÒn Thñy giao cho Ph­¬ng T­ ViÔn	Ph­¬ng T­ ViÔn (987/182/185), con s«ng (987/154/203)	Kü n¨ng cÊp 10 ph¸i Hoa S¬n
 Hoa S¬n	20	0	Ngé KiÕm (1/5)	§èi tho¹i víi Tõ Mé cña ph¸i Hoa S¬n ®Ó nhËn nhiÖm vô m«n ph¸i Hoa S¬n cÊp 20	Tõ Mé (987/188/180)	Kü n¨ng cÊp 20 ph¸i Hoa S¬n
 Hoa S¬n	20	10	Ngé KiÕm (2/5)	§Õn ph¸i Hoa S¬n chç th¸c n­íc phÝa T©y B¾c dïng thïng n­íc ®ùng Dung TuyÕt Chi Thñy, ®Õn phÝa §«ng T­ Qu¸ Nhai cña ph¸i Hoa S¬n thu thËp Nhai BÝch Chi Th¹ch, Th­¬ng Tïng Ch©m DiÖp  	Tõ Mé (987/188/180), th¸c n­íc (987/170/182), Cù Th¹ch (987/193/196), B¸ch Niªn Cæ Tïng (987/193/198)	Kü n¨ng cÊp 20 ph¸i Hoa S¬n
 Hoa S¬n	20	20	Ngé KiÕm (3/5)	§i ®Õn qu¶ng tr­êng trung t©m cña ph¸i Hoa S¬n t×m ®Ö tö Hoa S¬n LuyÖn KiÕm	Tõ Mé (987/188/180), th¸c n­íc (987/170/182), Cù Th¹ch (987/193/196), B¸ch Niªn Cæ Tïng (987/193/198), ®Ö tö Hoa S¬n LuyÖn KiÕm (987/173/192)	Kü n¨ng cÊp 20 ph¸i Hoa S¬n
 Hoa S¬n	20	30	Ngé KiÕm (4/5)	§i ®Õn diÔn vâ tr­êng cña ph¸i Hoa S¬n so tµi víi ®Ö tö Hoa S¬n LuyÖn KiÕm vµ giµnh phÇn th¾ng	Tõ Mé (987/188/180), th¸c n­íc (987/170/182), Cù Th¹ch (987/193/196), B¸ch Niªn Cæ Tïng (987/193/198), ®Ö tö Hoa S¬n LuyÖn KiÕm (987/173/192), diÔn vâ tr­êng (987/187/186)	Kü n¨ng cÊp 20 ph¸i Hoa S¬n
 Hoa S¬n	20	40	Ngé KiÕm (5/5)	§em Dung TuyÕt Chi Thñy, Th­¬ng Tïng Ch©m DiÖp vµ Nhai BÝch Chi Th¹ch giao cho Tõ Mé vµ phôc mÖnh víi h¾n	Tõ Mé (987/188/180), th¸c n­íc (987/170/182), Cù Th¹ch (987/193/196), B¸ch Niªn Cæ Tïng (987/193/198), ®Ö tö Hoa S¬n LuyÖn KiÕm (987/173/192), diÔn vâ tr­êng (987/187/186)	Kü n¨ng cÊp 20 ph¸i Hoa S¬n
 Hoa S¬n	30	0	B¨ng Tµm Ngäc Lé Cao (1/6)	§èi tho¹i víi LËn V©n My cña ph¸i Hoa S¬n ®Ó nhËn nhiÖm vô m«n ph¸i Hoa S¬n cÊp 30	LËn V©n My (987/163/189)	Kü n¨ng cÊp 30 ph¸i Hoa S¬n
 Hoa S¬n	30	10	B¨ng Tµm Ngäc Lé Cao (2/6)	§Õn Ph­îng T­êng t×m «ng chñ hiÖu thuèc mua B¨ng Tµm Ngäc Lé Cao	LËn V©n My (987/163/189), «ng chñ hiÖu thuèc Ph­îng T­êng (1/200/199)	Kü n¨ng cÊp 30 ph¸i Hoa S¬n
 Hoa S¬n	30	20	B¨ng Tµm Ngäc Lé Cao (3/6)	§i ®Õn KiÕm C¸c T©y B¾c ®¸nh b¹i c­êng ®¹o, c­íp l¹i B¨ng Tµm ThuÕ	LËn V©n My (987/163/189), «ng chñ hiÖu thuèc Ph­îng T­êng (1/200/199), c­êng ®¹o (3/120/242)	Kü n¨ng cÊp 30 ph¸i Hoa S¬n
 Hoa S¬n	30	30	B¨ng Tµm Ngäc Lé Cao (4/6)	§i Ph­îng T­êng ®em B¨ng Tµm ThuÕ nép cho «ng chñ hiÖu thuèc	LËn V©n My (987/163/189), «ng chñ hiÖu thuèc Ph­îng T­êng (1/200/199), c­êng ®¹o (3/120/242)	Kü n¨ng cÊp 30 ph¸i Hoa S¬n
 Hoa S¬n	30	40	B¨ng Tµm Ngäc Lé Cao (5/6)	§èi tho¹i víi «ng chñ hiÖu thuèc Ph­îng T­êng 1 lÇn n÷a ®Ó nhËn B¨ng Tµm Ngäc Lé Cao ®· chÕ t¹o xong	LËn V©n My (987/163/189), «ng chñ hiÖu thuèc Ph­îng T­êng (1/200/199), c­êng ®¹o (3/120/242)	Kü n¨ng cÊp 30 ph¸i Hoa S¬n
 Hoa S¬n	30	50	B¨ng Tµm Ngäc Lé Cao (6/6)	VÒ l¹i ph¸i Hoa S¬n ®em B¨ng Tµm Ngäc Lé Cao nép cho LËn V©n My	LËn V©n My (987/163/189), «ng chñ hiÖu thuèc Ph­îng T­êng (1/200/199), c­êng ®¹o (3/120/242)	Kü n¨ng cÊp 30 ph¸i Hoa S¬n
 Hoa S¬n	40	0	V©n Tö Tr¾c Thu B×nh (1/4)	§èi tho¹i víi Tõ Mé cña ph¸i Hoa S¬n ®Ó nhËn nhiÖm vô m«n ph¸i Hoa S¬n cÊp 40	ThÈm MÆc (987/179/185)	Kü n¨ng cÊp 40 ph¸i Hoa S¬n
