TinhNang,DuongDan,CoOLinux,KichThuocLinux,CoOJX1_dia,JX1_pak,Client_pak
satthu,\settings\task\tollgate\killer\killer.txt,CO,14033,KHONG,namcung.pak,update01.pak;update03.pak
satthu,\settings\droprate\boss\bosstask_lev90.ini,CO,6214,KHONG,,
satthu,\settings\droprate\boss\bosstask_lev20.ini,CO,6233,KHONG,,
satthu,\settings\killer.ini,CO,492,CO,namcung.pak,update01.pak;vlngaothe.pak
chung,\settings\huoyuedu\huoyuedu.txt,CO,1865,KHONG,,slistcache.pak
chung,\settings\goldboss.txt,CO,3124,KHONG,namcung.pak,update01.pak
vuotai,\settings\trigger_challengeoftime.lua,CO,704,KHONG,,update01.pak
vuotai,\settings\maps\challengeoftime\lineup8.txt,CO,99,KHONG,,
vuotai,\settings\maps\challengeoftime\lineup16.txt,CO,187,KHONG,,
vuotai,\settings\maps\challengeoftime\lineup20.txt,CO,231,KHONG,,
vuotai,\settings\maps\challengeoftime\lineup24.txt,CO,275,KHONG,,
vuotai,\settings\maps\challengeoftime\lineup32.txt,CO,363,KHONG,,
vuotai,\settings\maps\challengeoftime\lineup40.txt,CO,451,KHONG,,
vuotai,\settings\maps\challengeoftime\lineup56.txt,CO,627,KHONG,,
phonglangdo,\settings\maps\中原地图\渡船\渡船刷怪点.txt,KHONG,,KHONG,,
chung,\settings\trigger_include.lua,CO,828,KHONG,,update01.pak
chung,\script\huoyuedu\huoyuedu.lua,CO,7712,KHONG,,
