0x08232D40  x154
0x082338B0  x106
0x08232490  x69
0x08107910  x44
0x08233850  x37
0x08107860  x20
0x082337A0  x16
0x0814BE00  x16
0x08233360  x13
0x081D4620  x7
0x0804AEDC  x6
0x08232E70  x6
0x0804B5EC  x5
0x0804AFBC  x5
0x08232BE0  x5
0x080A8400  x4
0x082324D0  x4
0x0804AF8C  x4
0x0804AE7C  x4
0x080A8C80  x4
0x08232590  x3
0x0804B2DC  x3
0x0804B0AC  x3
0x080FEEB0  x3
0x0814B760  x3
0x082339B0  x3
0x08227E90  x2
0x0804B63C  x2
0x08106A40  x2
0x0804B49C  x2
0x0821DD00  x2
0x0804B72C  x2
0x0804B30C  x2
0x080C3F10  x2
0x081D1B50  x2
0x081D18D0  x2
0x081D18B0  x2
0x080F68A0  x2
0x080EF9F0  x2
0x080A0420  x2
0x081F2760  x2
0x0814B240  x2
0x081BFE10  x2
0x08220780  x2
0x08227030  x2
0x081D4CE0  x2
0x080AFE10  x2
0x08175E10  x2
0x081C43C0  x2
0x081FB8F0  x2
0x080A9B50  x1
0x080E52D0  x1
0x081D0420  x1
0x0822F1D0  x1
0x0804AEEC  x1
0x082093B0  x1
0x0811F230  x1
0x080F0950  x1
0x080EF7F0  x1
0x080A6290  x1
0x080A6A70  x1
0x0806DB90  x1
0x080A4D90  x1
0x0821D9C0  x1
0x0821DE40  x1
0x0804B70C  x1
0x0821DE10  x1
0x0821E540  x1
0x0814B4A0  x1
0x08228710  x1
0x080C3EE0  x1
0x080F00F0  x1
0x080F01D0  x1
0x080F24D0  x1
0x080F2610  x1
0x080A7450  x1
0x081F8B30  x1
0x081FAAB0  x1
0x080A41E0  x1
0x08226AD0  x1
0x08084120  x1
0x08081950  x1
0x082006B0  x1
0x08067540  x1
0x080B5180  x1
0x0821FE80  x1
0x0814E420  x1
0x0814D560  x1
0x0804B17C  x1
0x0821F810  x1
0x0821F340  x1
0x081542B0  x1
0x08174220  x1
0x0816BF40  x1
0x0818A4B0  x1
0x081EA2A0  x1
0x081D5F00  x1
0x081BFDE0  x1
0x081C5110  x1
0x081BFDF0  x1
0x081BFE20  x1
0x08159360  x1
0x08159370  x1
0x0815B5A0  x1
0x081BFE30  x1
0x08081600  x1
0x08065F00  x1
0x08202E30  x1
0x081D1240  x1
0x081D0EC0  x1
0x0807D4C0  x1
0x0804E470  x1
0x0821DE70  x1
0x081D4CB0  x1
0x081D4D10  x1
0x0804B08C  x1
0x0806F9F0  x1
0x080C25C0  x1
0x080ABB50  x1
0x080B2180  x1
0x080A8330  x1
0x08101E80  x1
0x081D3DB0  x1
0x0804B1AC  x1
0x0807FBB0  x1
