TinhNang,BoBa_Linux,TenLinux,CoTrongBangLinux,BienThe,TrungIdJX1,UngVienJX1_theoTen,KetLuan
phonglangdo,"6,1,196",Mật đồ thần bí,CO,,CO,"(6, 1, 195)",TRUNG ID
phonglangdo,"6,1,1094",Thí Giả Chi ấn,CO,,CO,"(6, 1, 1095)",TRUNG ID
phonglangdo,"6,1,2015",Truy công lệnh,CO,,CO,"(6, 1, 2024)",TRUNG ID
phonglangdo,"6,1,2115",Hải long châu,CO,,CO,"(6, 1, 2124)",TRUNG ID
phonglangdo,"6,1,2743",Bảo Rương Thủy Tặc,CO,,CO,"(6, 1, 3361)",TRUNG ID
phonglangdo,"6,1,30228",Chân Nguyên Đơn (trung),CO,,-,"(6, 1, 4846)","ANH XA -> (6, 1, 4846)"
satthu,"0,10,5",,KHONG CO trong bang Linux,,-,,THIEU
satthu,"0,10,6",,KHONG CO trong bang Linux,,-,,THIEU
satthu,"0,10,7",,KHONG CO trong bang Linux,,-,,THIEU
satthu,"0,10,8",,KHONG CO trong bang Linux,,-,,THIEU
satthu,"0,10,19",,KHONG CO trong bang Linux,,-,,THIEU
satthu,"0,10,20",,KHONG CO trong bang Linux,,-,,THIEU
satthu,"0,10,21",,KHONG CO trong bang Linux,,-,,THIEU
satthu,"6,0,3",Đại Lực hoàn,CO,,-,"(6, 1, 3)","ANH XA -> (6, 1, 3)"
satthu,"6,0,6",Phi Tốc hoàn,CO,,-,"(6, 1, 6)","ANH XA -> (6, 1, 6)"
satthu,"6,1,71",Tiên Thảo Lộ,CO,,CO,,TRUNG ID
satthu,"6,1,399",Sát Thủ lệnh,CO,,CO,"(6, 1, 398)",TRUNG ID
satthu,"6,1,400",Sát thủ giản,CO,,CO,"(6, 1, 399)",TRUNG ID
satthu,"6,1,906",Quả Huy Hoàng (cao),CO,,CO,"(6, 1, 907);(6, 1, 3440)",TRUNG ID
satthu,"6,1,907",Quả Hoàng Kim,CO,,CO,"(6, 1, 908)",TRUNG ID
satthu,"6,1,1781",Cẩm nang thay đổi trời đất,CO,,CO,"(6, 1, 1790);(6, 1, 3656)",TRUNG ID
satthu,"6,1,2006",Khiêu chiến Lễ bao,CO,,CO,"(6, 1, 2015)",TRUNG ID
satthu,"6,1,2347",Sát Thủ Bí Bảo,CO,,CO,"(6, 1, 2356)",TRUNG ID
satthu,"6,1,2348",Huyền Thiên Chùy,CO,,CO,"(6, 1, 2357)",TRUNG ID
satthu,"6,1,2350",Tử Mãng Lệnh,CO,,CO,"(6, 1, 2359)",TRUNG ID
satthu,"6,1,2351",Huyền Viên Lệnh,CO,,CO,"(6, 1, 2360)",TRUNG ID
satthu,"6,1,2352",Thương Lang Lệnh,CO,,CO,"(6, 1, 2361)",TRUNG ID
satthu,"6,1,2353",Vân Lộc Lệnh,CO,,CO,"(6, 1, 2362)",TRUNG ID
satthu,"6,1,2823",Huy Chương Chiến Công,CO,,CO,"(6, 1, 1827);(6, 1, 3441);(6, 1, 4825)",TRUNG ID
satthu,"6,1,2825",Cây Bút,CO,,CO,"(6, 1, 2183);(6, 1, 3443);(6, 1, 3658);(6, 1, 4048)",TRUNG ID
satthu,"6,1,2826",Phù Hiệu,CO,,CO,"(6, 1, 3444)",TRUNG ID
satthu,"6,1,3810",Tinh Thiết Khoáng,CO,,CO,"(6, 1, 4428)",TRUNG ID
satthu,"6,1,3811",Tinh Tinh Khoáng,CO,,CO,"(6, 1, 4429)",TRUNG ID
satthu,"6,1,30528",Đồ Phổ Đằng Long Khôi,CO,,-,,THIEU
satthu,"6,1,30530",Đồ Phổ Đằng Long Hài,CO,,-,,THIEU
satthu,"6,1,30531",Đồ Phổ Đằng Long Yêu Đái,CO,,-,,THIEU
satthu,"6,1,30532",Đồ Phổ Đằng Long Hộ Uyển,CO,,-,,THIEU
satthu,"6,1,30533",Đồ Phổ Đằng Long Hạng Liên,CO,,-,,THIEU
satthu,"6,1,30534",Đồ Phổ Đằng Long Bội,CO,,-,,THIEU
satthu,"6,1,30535",Đồ Phổ Đằng Long Thượng Giới Chỉ,CO,,-,,THIEU
satthu,"6,1,30536",Đồ Phổ Đằng Long Hạ Giới Chỉ,CO,,-,,THIEU
satthu,"6,1,30538",Đằng Long Thạch - Hạ,CO,,-,,THIEU
satthu,"6,1,30557",Túi Dược Phẩm,CO,,-,"(6, 1, 4813)","ANH XA -> (6, 1, 4813)"
vuotai,"1,2,0",Ngũ Hoa Ngọc Lộ Hoàn,CO,,CO,"(1, 2, 0)",TRUNG ID
vuotai,"4,238,1",,KHONG CO trong bang Linux,,-,,THIEU
vuotai,"4,239,1",,KHONG CO trong bang Linux,,-,,THIEU
vuotai,"4,240,1",,KHONG CO trong bang Linux,,-,,THIEU
vuotai,"4,353,1",,KHONG CO trong bang Linux,,-,,THIEU
vuotai,"4,489,1",,KHONG CO trong bang Linux,,-,,THIEU
vuotai,"6,0,3",Đại Lực hoàn,CO,,-,"(6, 1, 3)","ANH XA -> (6, 1, 3)"
vuotai,"6,0,6",Phi Tốc hoàn,CO,,-,"(6, 1, 6)","ANH XA -> (6, 1, 6)"
vuotai,"6,1,22",Tẩy Tủy Kinh,CO,,CO,"(6, 1, 22)",TRUNG ID
vuotai,"6,1,26",Võ Lâm Mật Tịch,CO,,CO,"(6, 1, 26)",TRUNG ID
vuotai,"6,1,71",Tiên Thảo Lộ,CO,,CO,,TRUNG ID
vuotai,"6,1,72",Thiên sơn  Bảo Lộ,CO,,CO,"(6, 1, 72)",TRUNG ID
vuotai,"6,1,73",Bách Quả Lộ,CO,,CO,"(6, 1, 73)",TRUNG ID
vuotai,"6,1,122",Phúc Duyên Lộ (Tiểu),CO,,CO,"(6, 1, 121)",TRUNG ID
vuotai,"6,1,123",Phúc Duyên Lộ (Trung),CO,,CO,"(6, 1, 122)",TRUNG ID
vuotai,"6,1,124",Phúc Duyên Lộ (Đại),CO,,CO,"(6, 1, 123)",TRUNG ID
vuotai,"6,1,215",Càn Khôn Tạo Hóa Đan (đại),CO,,CO,"(6, 1, 214)",TRUNG ID
vuotai,"6,1,400",Sát thủ giản,CO,,CO,"(6, 1, 399)",TRUNG ID
vuotai,"6,1,1392",Hộp lễ vật vượt ải,CO,,CO,"(6, 1, 1401)",TRUNG ID
vuotai,"6,1,2116",Thiên Niên Linh Dược,CO,,CO,"(6, 1, 2125)",TRUNG ID
vuotai,"6,1,2742",Bảo Rương Vượt ải,CO,,CO,"(6, 1, 3360)",TRUNG ID
vuotai,"6,1,3203",Hộ Mạch Đơn,CO,,CO,"(6, 1, 3821);(6, 1, 4844)",TRUNG ID
vuotai,"6,1,3810",Tinh Thiết Khoáng,CO,,CO,"(6, 1, 4428)",TRUNG ID
vuotai,"6,1,3811",Tinh Tinh Khoáng,CO,,CO,"(6, 1, 4429)",TRUNG ID
vuotai,"6,1,4134",Chân Nguyên Đan,CO,,CO,"(6, 1, 4752)",TRUNG ID
vuotai,"6,1,30006",Đồ Phổ Tinh Sương Y,CO,,-,"(6, 1, 4862)","ANH XA -> (6, 1, 4862)"
vuotai,"6,1,30009",Đồ Phổ Tinh Sương Hộ Uyển,CO,,-,,THIEU
vuotai,"6,1,30010",Đồ Phổ Tinh Sương Hạng Liên,CO,,-,,THIEU
vuotai,"6,1,30228",Chân Nguyên Đơn (trung),CO,,-,"(6, 1, 4846)","ANH XA -> (6, 1, 4846)"
vuotai,"6,1,30229",Chân Nguyên Đơn (đại),CO,,-,"(6, 1, 4847)","ANH XA -> (6, 1, 4847)"
vuotai,"6,1,30289",Huyết Long Đằng,CO,,-,"(6, 1, 3051);(6, 1, 3946);(6, 1, 4848)","ANH XA -> (6, 1, 3051);(6, 1, 3946);(6, 1, 4848)"
vuotai,"6,1,30301",Hỗn nguyên chân đơn,CO,,-,"(6, 1, 4857)","ANH XA -> (6, 1, 4857)"
vuotai,"6,1,30505",Đồ Phổ Tinh Sương Khí Giới,CO,,-,"(6, 1, 4863)","ANH XA -> (6, 1, 4863)"
vuotai,"6,1,30506",Tinh Sương Lệnh,CO,,-,"(6, 1, 4860)","ANH XA -> (6, 1, 4860)"
vuotai,"6,1,30507",Huyền Thiết,CO,,-,"(6, 1, 4861)","ANH XA -> (6, 1, 4861)"
vuotai,"6,1,30529",Đồ Phổ Đằng Long Y,CO,,-,"(6, 1, 4858)","ANH XA -> (6, 1, 4858)"
vuotai,"6,1,30533",Đồ Phổ Đằng Long Hạng Liên,CO,,-,,THIEU
vuotai,"6,1,30537",Đồ Phổ Đằng Long Khí Giới,CO,,-,"(6, 1, 4859)","ANH XA -> (6, 1, 4859)"
vuotai,"6,1,30538",Đằng Long Thạch - Hạ,CO,,-,,THIEU
vuotai,"6,1,30557",Túi Dược Phẩm,CO,,-,"(6, 1, 4813)","ANH XA -> (6, 1, 4813)"
