TinhNang,MapId,DuongDan,TenLinux,TenJX1,MapListJX1_server,MapListJX1_client,WorldSet_GameServer,srv_fp_cache,wor_trong_pak_Linux,wor_trong_pak_JX1_server,wor_trong_pak_JX1_client
satthu-NPC dan nhap (769),1,西北南区\凤翔,Phượng Tường,Phượng Tường,CO,CO,CO,CO,maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-NPC dan nhap (769),11,西南北区\成都\成都,Thành Đô,Thành Đô,CO,CO,CO,CO,maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-NPC dan nhap (769),37,中原北区\汴京\汴京,Biện Kinh,Biện Kinh,CO,CO,CO,CO,maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-NPC dan nhap (769),78,中原南区\襄阳\襄阳,Tương Dương,Tương Dương,CO,CO,CO,CO,maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-NPC dan nhap (769),80,中原南区\扬州,Dương Châu,Dương Châu,CO,CO,CO,CO,maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-NPC dan nhap (769),162,西南南区\大理\大理府,Đại Lý phủ,Đại Lý,CO,CO,CO,CO,maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-NPC dan nhap (769),176,江南区\临安\临安,Lâm An,Lâm An,CO,CO,CO,CO,maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,4,西北南区\剑阁西北\金光洞迷宫,Kim Quang động,Kim Quang động,CO,CO,CO,CO,maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,5,西北南区\剑阁西北\经皇洞迷宫,Kinh Hoàng động,Kinh Hoàng động,CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,10,西南北区\长江源头\雁石洞迷宫,Nhạn Thạch động,Nhạn Thạch động,CO,CO,CO,CO,maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,12,西南北区\成都\成都信相寺后院地道迷宫,Địa đạo hậu viện Tín Tướng tự,Địa đạo hậu viện Tín Tướng Tự,CO,CO,CO,CO,maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,14,西南北区\峨嵋派\猛虎洞穴迷宫,Mãnh Hổ động,Mãnh H?động,CO,CO,CO,CO,maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,22,西南北区\青城山\白云洞迷宫,Bạch Vân động,Bạch Vân động,CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,23,西南北区\青城山\神仙洞迷宫,Thần Tiên động,Thần Tiên động,CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,24,西南北区\青城山\响水洞迷宫,Hưởng Thủy động,Hưởng Thủy động,CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,42,中原北区\伏牛山\天心洞迷宫,Thiên Tâm động,Thiên Tâm động,CO,CO,CO,CO,maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,43,中原北区\剑阁中原,Kiếm Các Trung Nguyên,Kiếm Các Trung Nguyên,CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,56,两湖区\衡山派\衡山派,Hoành Sơn Phái,Hoành Sơn Phái,CO,CO,CO,CO,maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,66,两湖区\天王帮\洞庭湖底山洞1,Đáy Động Đình hồ tầng 1,Đáy Động Đình hồ tầng 1,CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,71,两湖区\武陵山\白水洞迷宫,Bạch Thủy động,Bạch Thủy động,CO,CO,CO,CO,maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,72,两湖区\武陵山\大酋洞迷宫,Đại Tù động,Đại Tù động,CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,73,两湖区\武陵山\伏流洞迷宫,Phục Lưu động,Phục Lưu động,CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,75,两湖区\神农架\蚩尤洞迷宫,Khoả Lang động,Khoả Lang động,CO,CO,CO,CO,maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,76,两湖区\神农架\山宝洞迷宫,Sơn Bảo động,Sơn Bảo động,CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,77,两湖区\神农架\燕子洞迷宫,Yến Tử động,Yến Tử động,CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,83,中原南区\武当派\火狼洞迷宫,Hỏa Lang động,Khỏa Lang động,CO,CO,CO,CO,maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,91,中原南区\伏牛山\鸡冠洞迷宫,Mê cung Kê Quán động,Mê cung Kế Quán động,CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,93,中原南区\蜀冈山\荐菊洞密宫,Tiến Cúc động,Tiến Cúc động,CO,CO,CO,CO,maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,94,中原南区\蜀冈山\灵谷洞密宫,Linh Cốc động,Linh Cốc động,CO,CO,CO,CO,maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,117,中原南区\丐帮\地下迷宫二层,Tường Vân động tầng 2,Tường Vân động tầng 2,CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,123,西北北区\黄河源头\老虎洞迷宫,Lão Hổ động,Lão Hổ động,CO,CO,CO,CO,maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,135,西北北区\昆仑派\见性峰山洞,Kiến Tính Phong sơn động,Kiến Tính Phong sơn động,CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,141,西北北区\药王谷\药王洞一层,Dược Vương động tầng 1,Dược Vương động tầng 1,CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,143,西北北区\药王谷\药王洞三层,Dược Vương động tầng 3,Dược Vương động tầng 3,CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,148,西北北区\药王谷\雪豹洞四层,Tuyết Báo động tầng 4,Tuyết Báo động tầng 4,CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,164,西南南区\大理\千寻塔一层,Thiên Tầm tháp tầng 1,Thiên Tầm tháp tầng 1,CO,CO,CO,CO,maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,168,西南南区\点苍山\凤眼洞迷宫,Phụng Nhãn động,Phụng Nhãn động,CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,181,江南区\罗霄山\两水洞迷宫,Lưỡng Thủy động,Lưỡng Thủy động,CO,CO,CO,CO,maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,193,江南区\武夷山\武夷山,Vũ Di sơn,Vũ Di sơn,CO,CO,CO,CO,maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,194,江南区\武夷山\玉华洞迷宫,Ngọc Hoa động,Ngọc Hoa động,CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,196,江南区\雁荡山\羊角洞迷宫,Dương Giác động,Dương Giác động,CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,201,西北南区\冰河洞迷宫,Băng Hà động,Băng Hà động,CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,202,西南北区\芙蓉洞迷宫,Phù Dung động,Phù Dung động,CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,225,西北北区\沙漠迷宫\沙漠山洞1,Sa Mạc 1,Sa Mạc 1,CO,CO,CO,CO,maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,319,东北区\临渝关,Lâm Du Quan,Lâm Du Quan,CO,CO,CO,CO,maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,321,东北区\长白山\长白山南,Trường Bạch sơn Nam,Trường Bạch sơn Nam,CO,CO,CO,CO,maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak
satthu-map co boss,340,西北北区\莫高窟,Mạc Cao Quật,Mạc Cao Quật,CO,CO,CO,CO,maps.pak,maps.pak,update01.pak
phonglangdo,336,中原北区\风陵渡,Phong Lăng độ,Phong Lăng độ,CO,CO,CO,CO,maps.pak,maps.pak,update01.pak
phonglangdo,337,中原北区\渡船,Bến thuyền 1,Bến thuyền 1,CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak,update01.pak
phonglangdo,338,中原北区\渡船,Bến thuyền 2,Bến thuyền 2,CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak,update01.pak
phonglangdo,339,中原北区\渡船,Bến thuyền 3,Bến thuyền 3,CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak,update01.pak
phonglangdo,175,江南区\西山村,Tây Sơn thôn,Tây Sơn thôn,CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak;maps_client.pak;maps_error.pak,maps.pak;update01.pak
vuotai-so cap,464,特殊用地\杀手的试炼,Thách thức thời gian (Sơ cấp 1),Thách thức thời gian (S?cấp 1),CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak,update01.pak;update03.pak
vuotai-so cap,465,特殊用地\杀手的试炼,Thách thức thời gian (Sơ cấp 2),Thách thức thời gian (S?cấp 2),CO,CO,CO,"-(cache A*, tu sinh)",maps.pak,maps.pak,update01.pak;update03.pak
