MapId,PathJX1,PakClientChua_wor
340,西北北区\莫高窟,update01.pak
336,中原北区\风陵渡,update01.pak
337,中原北区\渡船,update01.pak
338,中原北区\渡船,update01.pak
339,中原北区\渡船,update01.pak
957,特殊用地\安期炼丹洞,updatejx08.pak
464,特殊用地\杀手的试炼,update01.pak;update03.pak
465,特殊用地\杀手的试炼,update01.pak;update03.pak
466,特殊用地\杀手的试炼,update01.pak;update03.pak
467,特殊用地\杀手的试炼,update01.pak;update03.pak
468,特殊用地\杀手的试炼,update01.pak;update03.pak
469,特殊用地\杀手的试炼,update01.pak;update03.pak
470,特殊用地\杀手的试炼,update01.pak;update03.pak
471,特殊用地\杀手的试炼,update01.pak;update03.pak
472,特殊用地\杀手的试炼,update01.pak;update03.pak
473,特殊用地\杀手的试炼,update01.pak;update03.pak
474,特殊用地\杀手的试炼,update01.pak;update03.pak
475,特殊用地\杀手的试炼,update01.pak;update03.pak
476,特殊用地\杀手的试炼,update01.pak;update03.pak
477,特殊用地\杀手的试炼,update01.pak;update03.pak
478,特殊用地\杀手的试炼,update01.pak;update03.pak
479,特殊用地\杀手的试炼,update01.pak;update03.pak
480,特殊用地\杀手的试炼,update01.pak;update03.pak
481,特殊用地\杀手的试炼,update01.pak;update03.pak
482,特殊用地\杀手的试炼,update01.pak;update03.pak
483,特殊用地\杀手的试炼,update01.pak;update03.pak
484,特殊用地\杀手的试炼,update01.pak;update03.pak
485,特殊用地\杀手的试炼,update01.pak;update03.pak
486,特殊用地\杀手的试炼,update01.pak;update03.pak
487,特殊用地\杀手的试炼,update01.pak;update03.pak
488,特殊用地\杀手的试炼,update01.pak;update03.pak
489,特殊用地\杀手的试炼,update01.pak;update03.pak
490,特殊用地\杀手的试炼,update01.pak;update03.pak
491,特殊用地\杀手的试炼,update01.pak;update03.pak
492,特殊用地\杀手的试炼,update01.pak;update03.pak
493,特殊用地\杀手的试炼,update01.pak;update03.pak
494,特殊用地\杀手的试炼,update01.pak;update03.pak
495,特殊用地\杀手的试炼,update01.pak;update03.pak
1,西北南区\凤翔,maps.pak
379,特殊用地\冲锋战场,update01.pak
380,特殊用地\冲锋战场,update01.pak
4,西北南区\剑阁西北\金光洞迷宫,maps.pak
175,江南区\西山村,maps.pak;update01.pak
