TinhNang,MapId,PathLinux,PathJX1,LINUX:maps.pak,JX1SRV:maps.pak,JX1SRV:maps_client.pak,JX1SRV:namcung.pak,JX1SRV:maps_banghuichengbao.pak,JX1SRV:maps_tieu_bang_chien.pak,JX1CLI:maps.pak
satthu,4,西北南区\剑阁西北\金光洞迷宫,西北南区\剑阁西北\金光洞迷宫,CO,CO,CO,-,-,-,CO
satthu,5,西北南区\剑阁西北\经皇洞迷宫,西北南区\剑阁西北\经皇洞迷宫,CO,CO,CO,-,-,-,CO
satthu,10,西南北区\长江源头\雁石洞迷宫,西南北区\长江源头\雁石洞迷宫,CO,CO,CO,-,-,-,CO
satthu,12,西南北区\成都\成都信相寺后院地道迷宫,西南北区\成都\成都信相寺后院地道迷宫,CO,CO,CO,-,-,-,CO
satthu,14,西南北区\峨嵋派\猛虎洞穴迷宫,西南北区\峨嵋派\猛虎洞穴迷宫,CO,CO,CO,-,-,-,CO
satthu,22,西南北区\青城山\白云洞迷宫,西南北区\青城山\白云洞迷宫,CO,CO,CO,-,-,-,CO
satthu,23,西南北区\青城山\神仙洞迷宫,西南北区\青城山\神仙洞迷宫,CO,CO,CO,-,-,-,CO
satthu,24,西南北区\青城山\响水洞迷宫,西南北区\青城山\响水洞迷宫,CO,CO,CO,-,-,-,CO
satthu,42,中原北区\伏牛山\天心洞迷宫,中原北区\伏牛山\天心洞迷宫,CO,CO,CO,-,-,-,CO
satthu,43,中原北区\剑阁中原,中原北区\剑阁中原,CO,CO,CO,-,-,-,CO
satthu,56,两湖区\衡山派\衡山派,两湖区\衡山派\衡山派,CO,CO,CO,-,-,-,CO
satthu,66,两湖区\天王帮\洞庭湖底山洞1,两湖区\天王帮\洞庭湖底山洞1,CO,CO,CO,-,-,-,CO
satthu,71,两湖区\武陵山\白水洞迷宫,两湖区\武陵山\白水洞迷宫,CO,CO,CO,-,-,-,CO
