TinhNang,NpcId,TenLinux,Kind,NpcResType,AIMode,LevelScript,DropRateFile,TrangThaiJX1,TenJX1,SoSanhTen
satthu,761,Nhiệm vụ sát thủ cấp 20,0,enemy051,1,\script\npclevelscript\task_killboss.lua,,CO,Nhiệm vụ sát thủ cấp 20,TRUNG_TEN
satthu,762,Nhiệm vụ sát thủ cấp 30,0,enemy051,1,\script\npclevelscript\task_killboss.lua,,CO,Nhiệm vụ sát thủ cấp 30,TRUNG_TEN
satthu,763,Nhiệm vụ sát thủ cấp 40,0,enemy051,1,\script\npclevelscript\task_killboss.lua,,CO,Nhiệm vụ sát thủ cấp 40,TRUNG_TEN
satthu,764,Nhiệm vụ sát thủ cấp 50,0,enemy051,1,\script\npclevelscript\task_killboss.lua,,CO,Nhiệm vụ sát thủ cấp 50,TRUNG_TEN
satthu,765,Nhiệm vụ sát thủ cấp 60,0,enemy051,1,\script\npclevelscript\task_killboss.lua,,CO,Nhiệm vụ sát thủ cấp 60,TRUNG_TEN
satthu,766,Nhiệm vụ sát thủ cấp 70,0,enemy051,1,\script\npclevelscript\task_killboss.lua,,CO,Nhiệm vụ sát thủ cấp 70,TRUNG_TEN
satthu,767,Nhiệm vụ sát thủ cấp 80,0,enemy051,1,\script\npclevelscript\task_killboss.lua,,CO,Nhiệm vụ sát thủ cấp 80,TRUNG_TEN
satthu,768,Nhiệm vụ sát thủ cấp 90,0,enemy051,1,\script\npclevelscript\task_killboss.lua,,CO,Nhiệm vụ sát thủ cấp 90,TRUNG_TEN
satthu,770,Nhiệm vụ sát thủ cấp 201,0,enemy107,1,\script\npclevelscript\task_killboss.lua,,CO,Nhiệm vụ sát thủ cấp 201,TRUNG_TEN
satthu,771,Nhiệm vụ sát thủ cấp 202,0,enemy081,1,\script\npclevelscript\task_killboss.lua,,CO,Nhiệm vụ sát thủ cấp 202,TRUNG_TEN
satthu,772,Nhiệm vụ sát thủ cấp 203,0,enemy109,1,\script\npclevelscript\task_killboss.lua,,CO,Nhiệm vụ sát thủ cấp 203,TRUNG_TEN
satthu,773,Nhiệm vụ sát thủ cấp 301,0,enemy107,1,\script\npclevelscript\task_killboss.lua,,CO,Nhiệm vụ sát thủ cấp 301,TRUNG_TEN
satthu,774,Nhiệm vụ sát thủ cấp 302,0,enemy081,1,\script\npclevelscript\task_killboss.lua,,CO,Nhiệm vụ sát thủ cấp 302,TRUNG_TEN
satthu,775,Nhiệm vụ sát thủ cấp 303,0,enemy109,1,\script\npclevelscript\task_killboss.lua,,CO,Nhiệm vụ sát thủ cấp 303,TRUNG_TEN
satthu,776,Nhiệm vụ sát thủ cấp 304,0,enemy126,1,\script\npclevelscript\task_killboss.lua,,CO,Nhiệm vụ sát thủ cấp 304,TRUNG_TEN
satthu,777,Nhiệm vụ sát thủ cấp 401,0,enemy107,1,\script\npclevelscript\task_killboss.lua,,CO,Nhiệm vụ sát thủ cấp 401,TRUNG_TEN
satthu,778,Nhiệm vụ sát thủ cấp 402,0,enemy081,1,\script\npclevelscript\task_killboss.lua,,CO,Nhiệm vụ sát thủ cấp 402,TRUNG_TEN
satthu,779,Nhiệm vụ sát thủ cấp 403,0,enemy109,1,\script\npclevelscript\task_killboss.lua,,CO,Nhiệm vụ sát thủ cấp 403,TRUNG_TEN
satthu,780,Nhiệm vụ sát thủ cấp 404,0,enemy126,1,\script\npclevelscript\task_killboss.lua,,CO,Nhiệm vụ sát thủ cấp 404,TRUNG_TEN
satthu,781,Nhiệm vụ sát thủ cấp 405,0,enemy089,1,\script\npclevelscript\task_killboss.lua,,CO,Nhiệm vụ sát thủ cấp 405,TRUNG_TEN
satthu,782,Nhiệm vụ sát thủ cấp 501,0,enemy107,1,\script\npclevelscript\task_killboss.lua,,CO,Nhiệm vụ sát thủ cấp 501,TRUNG_TEN
satthu,783,Nhiệm vụ sát thủ cấp 502,0,enemy081,1,\script\npclevelscript\task_killboss.lua,,CO,Nhiệm vụ sát thủ cấp 502,TRUNG_TEN
