DongTrongKillbossheadLua,NpcId,Level,MapId,X_o,Y_o,Camp,TenBoss,Boss?,DeathScript,TaskValue_1082
6,761,25,73,1545,2947,0,Trác Lãnh Cầm,1,\\script\\task\\tollgate\\killer\\kill_level.lua,1
7,770,25,73,1418,3034,0,Tiêu Thiên Ngạo,1,\\script\\task\\tollgate\\killer\\kill_level.lua,2
8,771,25,73,1640,3088,0,Mục Minh Kiệt,1,\\script\\task\\tollgate\\killer\\kill_level.lua,3
9,772,25,73,1740,3044,0,Tất Vưu Phóng,1,\\script\\task\\tollgate\\killer\\kill_level.lua,4
10,761,25,43,1607,3038,0,Lục Cửu U,1,\\script\\task\\tollgate\\killer\\kill_level.lua,5
11,770,25,43,1717,3141,0,Bộ Hiêu Trần,1,\\script\\task\\tollgate\\killer\\kill_level.lua,6
12,771,25,43,1806,3062,0,Cốc Kiếm Thu,1,\\script\\task\\tollgate\\killer\\kill_level.lua,7
13,772,25,43,1784,2746,0,Thiệu Hoa Dung,1,\\script\\task\\tollgate\\killer\\kill_level.lua,8
14,761,25,71,1684,3136,0,Quan Tử Mạc,1,\\script\\task\\tollgate\\killer\\kill_level.lua,9
15,770,25,71,1602,3081,0,Bành Thích Hải,1,\\script\\task\\tollgate\\killer\\kill_level.lua,10
16,771,25,71,1578,3187,0,Bích Phù Bình,1,\\script\\task\\tollgate\\killer\\kill_level.lua,11
17,772,25,71,1599,3293,0,Trượng Lãnh sơn ,1,\\script\\task\\tollgate\\killer\\kill_level.lua,12
18,761,25,83,1513,3086,0,Tiêu Kiếm Tuyết,1,\\script\\task\\tollgate\\killer\\kill_level.lua,13
19,770,25,83,1561,2885,0,Kha Thiếu Gia,1,\\script\\task\\tollgate\\killer\\kill_level.lua,14
20,771,25,83,1720,3031,0,Chưởng Bát Phương,1,\\script\\task\\tollgate\\killer\\kill_level.lua,15
21,772,25,83,1696,3197,0,Mộng ất  Phi,1,\\script\\task\\tollgate\\killer\\kill_level.lua,16
22,761,25,14,1799,3214,0,Tư Đồ Tuyệt Chủy,1,\\script\\task\\tollgate\\killer\\kill_level.lua,17
23,770,25,14,1712,3312,0,Thượng Quan Lãng,1,\\script\\task\\tollgate\\killer\\kill_level.lua,18
24,771,25,14,1628,3172,0,Dương Thanh ẩn,1,\\script\\task\\tollgate\\killer\\kill_level.lua,19
25,772,25,14,1704,3214,0,Ngụy Chiêm Thân,1,\\script\\task\\tollgate\\killer\\kill_level.lua,20
28,762,35,4,1577,2996,0,Đào Đoạt Thu,1,\\script\\task\\tollgate\\killer\\kill_level.lua,21
29,773,35,4,1755,3251,0,Xà Bá Đông ,1,\\script\\task\\tollgate\\killer\\kill_level.lua,22
30,774,35,4,1747,2973,0,Lương Tư Nam ,1,\\script\\task\\tollgate\\killer\\kill_level.lua,23
31,775,35,4,1539,2894,0,Trác Thất Lang,1,\\script\\task\\tollgate\\killer\\kill_level.lua,24
32,776,35,22,1722,3187,0,Kiều Đỉnh Thiên,1,\\script\\task\\tollgate\\killer\\kill_level.lua,25
33,762,35,22,1784,3040,0,Trọng Vô Cấp ,1,\\script\\task\\tollgate\\killer\\kill_level.lua,26
34,773,35,22,1890,3206,0,Khí Cầm Sĩ ,1,\\script\\task\\tollgate\\killer\\kill_level.lua,27
35,774,35,22,1727,3350,0,Đinh Văn Dục,1,\\script\\task\\tollgate\\killer\\kill_level.lua,28
36,775,35,77,1368,3508,0,Phong Ngũ ấn,1,\\script\\task\\tollgate\\killer\\kill_level.lua,29
37,776,35,77,1447,3355,0,Khang  Bất Hối,1,\\script\\task\\tollgate\\killer\\kill_level.lua,30
38,762,35,77,1649,3269,0,Phương Dực Viêm,1,\\script\\task\\tollgate\\killer\\kill_level.lua,31
39,773,35,77,1623,3535,0,Ninh Tâm Cuồng,1,\\script\\task\\tollgate\\killer\\kill_level.lua,32
40,774,35,141,1575,3265,0,Hình Phụ Sinh,1,\\script\\task\\tollgate\\killer\\kill_level.lua,33
41,775,35,141,1555,3220,0,Hoắc Trấn Phi,1,\\script\\task\\tollgate\\killer\\kill_level.lua,34
42,776,35,141,1663,3273,0,Quản Vô Yếm,1,\\script\\task\\tollgate\\killer\\kill_level.lua,35
43,762,35,141,1635,3194,0,Diệp Vĩnh Ân,1,\\script\\task\\tollgate\\killer\\kill_level.lua,36
44,773,35,193,1250,2965,0,Âu chí Phong,1,\\script\\task\\tollgate\\killer\\kill_level.lua,37
45,774,35,193,919,2668,0,Độc Cô Hiệp ,1,\\script\\task\\tollgate\\killer\\kill_level.lua,38
46,775,35,193,967,2705,0,Hạng Phù Nhai,1,\\script\\task\\tollgate\\killer\\kill_level.lua,39
47,776,35,193,1442,3181,0,Nghê Đại Chu,1,\\script\\task\\tollgate\\killer\\kill_level.lua,40
50,763,45,5,1616,3476,0,Du Thán Giang ,1,\\script\\task\\tollgate\\killer\\kill_level.lua,41
51,777,45,5,1442,3379,0,Hạ Hùng Phi,1,\\script\\task\\tollgate\\killer\\kill_level.lua,42
52,778,45,5,1602,3284,0,Tống Vũ Phong,1,\\script\\task\\tollgate\\killer\\kill_level.lua,43
53,779,45,5,1757,3616,0,Lộ Thượng Nhân,1,\\script\\task\\tollgate\\killer\\kill_level.lua,44
54,780,45,168,1765,3222,0,Nhậm Tông Hoành,1,\\script\\task\\tollgate\\killer\\kill_level.lua,45
55,781,45,168,1767,3038,0,Hàn Khanh Long,1,\\script\\task\\tollgate\\killer\\kill_level.lua,46
56,763,45,168,1646,2923,0,Trì Phẩm Chân,1,\\script\\task\\tollgate\\killer\\kill_level.lua,47
57,777,45,168,1525,2940,0,Chung Thiết Thối,1,\\script\\task\\tollgate\\killer\\kill_level.lua,48
58,778,45,23,1699,3178,0,Điêu Dịch Đao,1,\\script\\task\\tollgate\\killer\\kill_level.lua,49
59,779,45,23,1774,3086,0,Đồ Tàn Sinh,1,\\script\\task\\tollgate\\killer\\kill_level.lua,50
