nMapId	nXPos	nYPos
121	60747	133161
121	61588	133749
121	62128	131585
121	62856	132242
121	63808	133635
121	62521	134569
121	60618	134455
121	64016	132178
121	64716	133754
121	65498	133582
121	66947	134339
121	68381	134235
121	68817	133398
121	69872	133373
121	70314	133734
121	70251	135874
121	70909	136751
121	69961	138472
121	66260	136640
121	67257	138357
121	66104	139455
121	69225	141102
121	66973	140331
121	65583	141679
121	69051	143810
121	70427	143962
121	71951	146710
121	70587	148523
121	71384	150146
121	69268	150400
121	69011	148886
121	67341	147267
121	66945	144638
121	67871	143610
121	68398	147808
121	70063	148300
121	69359	146459
121	62128	149834
121	63218	148932
121	63919	147979
121	64674	147322
121	66185	148383
121	67251	148386
121	59012	145523
121	57489	145219
121	58586	146704
121	60604	146456
121	60771	148608
121	60704	150772
121	60201	148132
121	56765	145144
121	55669	146201
121	55895	143480
121	56826	143133
121	58142	143691
121	58807	142818
121	58173	141008
121	59089	139747
121	60447	138790
121	56067	141344
121	55865	139291
121	55689	140027
121	55689	140027
121	57599	138375
121	58304	137267
121	59463	136609
121	62645	137108
121	63387	136407
121	63727	135057
121	64418	137172
121	65033	135775
121	66239	134977
121	59047	132631
121	60272	133365
121	58101	135719
121	56624	139884
121	60672	137760
121	63955	138625
121	64994	139560
121	66361	141285
121	67636	139670
121	68952	138141
121	68752	136715
121	67078	133501
121	65434	140410
121	63429	139649
121	66318	137930
121	67999	135562
121	65864	146800
121	65696	147779
121	66750	145416
121	67717	145566
121	68651	146059
121	68955	142028
121	70759	141361
121	69724	140191
121	68564	139947
121	67073	141316
121	70846	139502
121	71879	141058
121	69755	143658
121	68140	142786
121	67456	142416
121	65716	143129
121	70307	141881
121	71909	144915
121	69756	145453
121	70076	150023
121	68394	148957
121	66448	146329
121	66348	151836
121	64042	149713
121	57101	143658
121	58857	141393
121	61778	139433
121	61479	134893
121	61396	131350
121	60159	140213
121	63064	137987
121	66190	133862
121	70734	135200
121	70112	137350
121	67710	137640
121	65094	137023
121	64429	135378
121	61857	137100
121	61860	138459
121	62506	139586
121	64481	141168
121	69253	139515
121	68189	144702
121	70463	146008
121	67892	150946
121	63282	150077
121	64124	151828
121	62286	151525
121	59852	149133
121	60124	146818
121	57868	144685
121	56999	139254
121	58426	138522
121	56983	135772
121	56950	135346
121	59264	133573
121	58830	134792
121	59562	134536
121	65140	138829
121	64503	139369
121	67213	150058
