ActivityId	ActivityName	CountTask	MaxCount	Param1	Param2	Param3	Param4	Param5	Param6	Param7	Param8	Param9	Param10	WeekResetFlag
1	BOSS	2862	1	5	0	0	0	0	0	0	0	0	0	0
2	风陵渡船	2863	2	5	5	0	0	0	0	0	0	0	0	0
3	时间的挑战	2864	2	5	5	0	0	0	0	0	0	0	0	0
4	宋金	2865	1	3	0	0	0	0	0	0	0	0	0	0
5	炎帝宝藏	2866	2	5	5	0	0	0	0	0	0	0	0	0
6	七城大战	2867	1	10	0	0	0	0	0	0	0	0	0	1
7	武林联赛	2868	3	10	5	2	0	0	0	0	0	0	0	0
8	辉之章-辉煌之果	2869	1	5	0	0	0	0	0	0	0	0	0	0
9	辉之章-华山灯谜	3167	2	2	1	0	0	0	0	0	0	0	0	0
10	信使任务	2870	2	5	2	0	0	0	0	0	0	0	0	0
11	杀手任务	2871	2	3	3	0	0	0	0	0	0	0	0	0
12	野叟任务	3168	5	1	1	1	1	1	0	0	0	0	0	0
13	烽火连城	2872	1	5	0	0	0	0	0	0	0	0	0	0
14	天子国战	2873	1	6	0	0	0	0	0	0	0	0	0	1
15	名人堂任务	2874	1	5	0	0	0	0	0	0	0	0	0	0
16	采集药材合成	2875	2	5	2	0	0	0	0	0	0	0	0	0
17	天池秘境	2876	2	1	1	0	0	0	0	0	0	0	0	0
18	五彩结晶	2877	2	1	1	0	0	0	0	0	0	0	0	0
19	每月活动	2878	5	5	4	3	2	1	0	0	0	0	0	0
20	日常任务	2879	5	5	2	0	0	0	0	0	0	0	0	0
21	行侠令上线领取	2822	1	5	0	0	0	0	0	0	0	0	0	0
22	傀儡木人	3169	2	1	1	0	0	0	0	0	0	0	0	0
23	龙脉任务	2883	1	5	0	0	0	0	0	0	0	0	0	0
24	剑冢迷宫	3158	2	3	3	0	0	0	0	0	0	0	0	0
25	乱战九州谷	3156	3	5	2	1	0	0	0	0	0	0	0	0
26	皇城司训练营	3160	2	5	2	0	0	0	0	0	0	0	0	0
27	试炼堂	3151	2	1	1	0	0	0	0	0	0	0	0	0
28	行侠旗	3152	1	5	0	0	0	0	0	0	0	0	0	0
29	富贵锦盒	3153	1	5	0	0	0	0	0	0	0	0	0	0
30	西山屿	3155	1	1	0	0	0	0	0	0	0	0	0	0
31	登录有礼	4113	1	5	0	0	0	0	0	0	0	0	0	0
32	龙门镖局	4114	3	5	5	5	0	0	0	0	0	0	0	0
33	战龙洞黄金果	4115	1	5	0	0	0	0	0	0	0	0	0	0
34	帮会城战	4116	1	8	0	0	0	0	0	0	0	0	0	1
35	武林盟主	4117	1	3	0	0	0	0	0	0	0	0	0	0
36	符离战	4118	1	7	0	0	0	0	0	0	0	0	0	0
37	好运票	4119	1	5	0	0	0	0	0	0	0	0	0	0
38	天禄树	4120	1	5	0	0	0	0	0	0	0	0	0	0
39	思过崖	4121	1	3	0	0	0	0	0	0	0	0	0	0
40	北斗老人任务	4122	3	2	2	2	0	0	0	0	0	0	0	0
41	血战苍狼	4171	1	10	0	0	0	0	0	0	0	0	0	0
