nhom,linux_g,linux_d,linux_p,ten_linux,jx1,cho_dung
A,6,0,3,"Đại Lực hoàn","6,1,3","head.lua:166"
A,6,0,6,"Phi Tốc hoàn","6,1,6","head.lua:167"
A,6,1,147,"Huyền Tinh Khoáng Thạch","6,1,146","yandiduihuan.lua:32"
A,6,1,215,"Càn Khôn Tạo Hóa Đan (đại)","6,1,214","head.lua:165"
A,6,1,398,"Thần bí khoáng thạch","6,1,397","yandiduihuan.lua:34"
A,6,1,1309,"Mảnh Bổ Thiên Thạch (trung)","6,1,1314","yandiduihuan.lua:33"
A,6,1,1604,"Anh Hùng Thiếp","6,1,1613","head.lua:52"
A,6,1,1605,"Hình nhân","6,1,1614","head.lua:139, head.lua:145"
A,6,1,1606,"Viêm Đế Đồ Đằng","6,1,1615","golditem.lua:6, yandituteng.lua:53, yandituteng.lua:58"
A,6,1,1617,"Viêm Đế Lệnh","6,1,1626","head.lua:53"
A,6,1,1746,"Phượng Minh Chùy","6,1,1755","yandiduihuan.lua:31"
A,6,1,2351,"Huyền Viên Lệnh","6,1,2360","yandituteng.lua:107"
A,6,1,2532,"Viêm Đế Lệnh Kỳ","6,1,2541","yandituteng.lua:54, yandituteng.lua:61"
A,6,1,2744,"Chìa Khóa Như ý","6,1,3362","yandimibao.lua:17"
A,6,1,2805,"Viêm Đế Bí Bảo","6,1,3423","head.lua:181"
A,6,1,3810,"Tinh Thiết Khoáng","6,1,4428","head.lua:153, yandimibao.lua:68"
A,6,1,3811,"Tinh Tinh Khoáng","6,1,4429","head.lua:152, yandimibao.lua:67"
A,6,1,30006,"Đồ Phổ Tinh Sương Y","6,1,4862","yandimibao.lua:73"
A,6,1,30191,"Chìa khóa vàng","6,1,2953","yandimibao.lua:18"
A,6,1,30228,"Chân Nguyên Đơn (trung)","6,1,4846","yandimibao.lua:60"
A,6,1,30301,"Hỗn nguyên chân đơn","6,1,4857","yandimibao.lua:62"
A,6,1,30505,"Đồ Phổ Tinh Sương Khí Giới","6,1,4863","yandimibao.lua:74"
A,6,1,30506,"Tinh Sương Lệnh","6,1,4860","yandimibao.lua:71"
A,6,1,30507,"Huyền Thiết","6,1,4861","yandimibao.lua:72"
A,6,1,30529,"Đồ Phổ Đằng Long Y","6,1,4858","yandimibao.lua:69"
A,6,1,30537,"Đồ Phổ Đằng Long Khí Giới","6,1,4859","yandimibao.lua:70"
A,6,1,30557,"Túi Dược Phẩm","6,1,4813","head.lua:164"
B,6,1,30350,"Hộp Mặt Nạ Chiến Trường","","head.lua:156, head.lua:157"
B,6,1,30538,"Đằng Long Thạch - Hạ","","head.lua:171"
C,4,417,1,"<khong tra duoc ten o ban Linux>","","yandituteng.lua:59"
C,6,1,3203,"Hộ Mạch Đơn","TRUNG 2 ma: 6,1,3821 | 6,1,4844","yandimibao.lua:63"
C,6,1,4134,"Chân Nguyên Đan","TRUNG 2 ma: 6,1,3926 | 6,1,4752","yandimibao.lua:59"
C,6,1,30008,"Đồ Phổ Tinh Sương Yêu Đái","gan giong: 6,1,4862=do pho tinh suong y; 6,1,4863=do pho tinh suong khi gioi","head.lua:172"
C,6,1,30011,"Đồ Phổ Tinh Sương Ngọc Bội","gan giong: 6,1,4862=do pho tinh suong y; 6,1,4863=do pho tinh suong khi gioi","head.lua:173"
C,6,1,30229,"Chân Nguyên Đơn (đại)","TRUNG 2 ma: 6,1,2991 | 6,1,4847","yandimibao.lua:61"
C,6,1,30289,"Huyết Long Đằng","TRUNG 3 ma: 6,1,3051 | 6,1,3946 | 6,1,4848","yandimibao.lua:64, yandimibao.lua:65, yandimibao.lua:66"
C,6,1,30534,"Đồ Phổ Đằng Long Bội","gan giong: 6,1,4858=do pho dang long y; 6,1,4859=do pho dang long khi gioi","head.lua:170"
