TASK	SCRIPT
1	\script\timertask\task01.lua
2	\script\timertask\task02.lua
3	\script\timertask\task03.lua
4	\script\timertask\task04.lua
5	\script\timertask\task05.lua
6	\script\timertask\task06.lua
7	\script\timertask\task07.lua
8	\script\timertask\task08.lua
9	\script\timertask\task09.lua
10	\script\timertask\task10.lua
11	\script\tinhnang\lien_dau\timer_liendau.lua
12	\script\missions\citywar_city\timer.lua
13	\script\missions\citywar_city\totaltimer.lua
14	\script\timertask\pubg.lua
15	\script\timertask\pubgend.lua
16	\script\missions\citywar_arena\timer.lua
17	\script\missions\citywar_arena\totaltimer.lua
18	\script\missions\citywar_global\timer.lua
