Ma	Ten
88	Néi lùc tèi ®a
97	Th©n ph¸p
98	Sinh lùc gèc
99	Néi lùc gèc
100	Kh¸ng ®éc
190	S¸t th­¬ng bæ trî
226	Kh¸ng ®éc
227	Kh¸ng l«i
234	Néi lùc tèi ®a
236	Uy lùc trõng ph¹t
241	Uy lùc kü n¨ng
243	Håi phôc
246	Xuyªn kh¸ng l«i
247	S¸t th­¬ng
248	Gi¶m thêi gian håi chiªu
268	Xuyªn ®ì ®ßn
269	Tû lÖ ®ì ®ßn
270	Tèc ®é di chuyÓn
271	Ph¶n ®ßn kÎ ®Þch
276	S¸t th­¬ng chiªu
277	S¸t th­¬ng chiªu
278	S¸t th­¬ng chiªu
279	S¸t th­¬ng chiªu
280	S¸t th­¬ng chiªu
281	S¸t th­¬ng chiªu
282	S¸t th­¬ng chiªu
283	S¸t th­¬ng chiªu
284	TÇm ®¸nh xa
285	TÇm b¾n
308	Uy lùc §ång Hµnh
