nUpGradePoint	nGrownPoint	nTamePoint	nItemCostCount	nSuccessRate
0	0	0	0	0
40	80	125	1	100
80	160	250	1	100
120	240	375	1	100
160	320	500	2	90
200	400	625	2	90
240	480	750	3	90
280	560	875	3	85
320	640	1000	3	85
400	800	1250	4	80
480	960	1500	4	80
560	1120	1750	5	75
640	1280	2000	5	75
720	1440	2250	5	75
800	1600	2500	6	70
880	1760	2750	6	70
960	1920	3000	6	70
1040	2080	3250	6	70
1120	2240	3500	7	70
1200	2400	3750	7	70
1280	2560	4000	7	70
1360	2720	4250	7	70
1440	2880	4500	8	70
1520	3040	4750	8	70
1600	3200	5000	8	70
1680	3360	5250	8	70
1760	3520	5500	9	70
1840	3680	5750	9	70
1920	3840	6000	9	70
2000	4000	6250	9	70
2080	4160	6500	10	70
2160	4320	6750	10	70
2240	4480	7000	10	70
2320	4640	7250	10	70
2400	4800	7500	11	70
2480	4960	7750	11	70
2560	5120	8000	11	70
2640	5280	8250	11	70
2720	5440	8500	12	70
2800	5600	8750	12	70
2880	5760	9000	12	70
2960	5920	9250	12	70
3040	6080	9500	13	70
3120	6240	9750	13	70
3200	6400	10000	13	70
3280	6560	10250	13	70
3360	6720	10500	14	70
3440	6880	10750	14	70
3520	7040	11000	14	70
3600	7200	11250	14	70
3680	7360	11500	15	70
3760	7520	11750	15	70
3840	7680	12000	15	70
3920	7840	12250	15	70
4000	8000	12500	16	70
4080	8160	12750	16	70
4160	8320	13000	16	70
4240	8480	13250	16	70
4320	8640	13500	17	70
4400	8800	13750	17	70
4480	8960	14000	17	70
4560	9120	14250	17	70
4640	9280	14500	18	70
4720	9440	14750	18	70
4800	9600	15000	18	70
4880	9760	15250	18	70
4960	9920	15500	19	70
5040	10080	15750	19	70
5120	10240	16000	19	70
5200	10400	16250	19	70
5280	10560	16500	20	70
5360	10720	16750	20	70
5440	10880	17000	20	70
5520	11040	17250	20	70
5600	11200	17500	21	70
5680	11360	17750	21	70
5760	11520	18000	21	70
5840	11680	18250	21	70
5920	11840	18500	22	70
6000	12000	18750	22	70
6080	12160	19000	22	70
6160	12320	19250	22	70
6240	12480	19500	23	70
6320	12640	19750	23	70
6400	12800	20000	23	70
6480	12960	20250	23	70
6560	13120	20500	24	70
6640	13280	20750	24	70
6720	13440	21000	24	70
6800	13600	21250	24	70
6880	13760	21500	25	70
6960	13920	21750	25	70
7040	14080	22000	25	70
7120	14240	22250	25	70
7200	14400	22500	26	70
7280	14560	22750	26	70
7360	14720	23000	26	70
7440	14880	23250	26	70
7520	15040	23500	27	70
7600	15200	23750	27	70
7680	15360	24000	27	70
7760	15520	24250	27	70
7840	15680	24500	28	70
7920	15840	24750	28	70
8000	16000	25000	28	70
8080	16160	25250	28	70
8160	16320	25500	29	70
8240	16480	25750	29	70
8320	16640	26000	29	70
8400	16800	26250	29	70
8480	16960	26500	30	70
8560	17120	26750	30	70
8640	17280	27000	30	70
8720	17440	27250	30	70
8800	17600	27500	30	70
8880	17760	27750	30	70
8960	17920	28000	30	70
9040	18080	28250	30	70
9120	18240	28500	30	70
9200	18400	28750	30	70
9280	18560	29000	30	70
9360	18720	29250	30	70
9440	18880	29500	30	70
9520	19040	29750	30	70
9600	19200	30000	30	70
9680	19360	30250	30	70
9760	19520	30500	30	70
9840	19680	30750	30	70
9920	19840	31000	30	70
10000	20000	31250	30	70
