Name	Quality	Genre	Detail	Particular	GoodsFive	Level	Magiclevel	TaskValue
Tr­êng MÖnh Hoµn	0	6	1	1	0	1	0	1200000
LÔ Bao BÝ KÝp	0	6	1	4815	0	1	0	3000000
Gia B¶o Hoµn	0	6	1	2	0	1	0	1200000
ThiÕt La H¸n	0	6	1	23	0	1	0	60000000
§¹i Lùc Hoµn	0	6	1	3	0	1	0	3500000
Cao Thiªm Hoµn	0	6	1	4	0	1	0	1000000
Cao Trung Hoµn	0	6	1	5	0	1	0	800000
Phi Tèc Hoµn	0	6	1	6	0	1	0	3000000
LÔ Bao BÝ KÝp	0	6	1	4815	0	1	0	3000000
B¸t Nh­îc T©m Kinh	0	6	1	12	0	1	0	240000000
Phi Phong	0	6	1	15	0	1	0	15000000
Hoa Hång	0	6	1	20	0	1	0	30000
LÔ Bao BÝ KÝp	0	6	1	4815	0	1	0	3000000
QuÕ Hoa Töu	0	6	1	124	0	1	0	500000
Tiªn Th¶o Lé	0	6	1	71	0	1	0	24000000
T©y TuÖ Kinh	0	6	1	22	0	1	0	900000000
Vâ L©m MËt TÞch	0	6	1	26	0	1	0	1200000000
B¶o R­¬ng Tr©n B¶o	0	6	1	4850	0	1	0	5000000
HuyÒn Thiªn Chïy	0	6	1	2357	0	1	0	500
HuyÒn Thiªn Chïy	0	6	1	2357	0	1	0	500
HuyÒn Thiªn Chïy	0	6	1	2357	0	1	0	500
HuyÒn Thiªn Chïy	0	6	1	2357	0	1	0	500
HuyÒn Thiªn Chïy	0	6	1	2357	0	1	0	500
