Num	Name	Quality	Genre	Detail	Particular	Level	GoodsFive	Magiclevel	TaskValue	Count	LockType	ExpDay	GiveAll	Cells
100	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
100	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
200	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
200	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
300	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
300	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
400	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
400	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
500	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
500	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
600	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
600	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
700	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
700	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
800	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
800	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
900	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
900	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
1000	Thiªn Hoµng Long Long §µi	1	167	0	0	0	1	0	10000	1	-2	30	1	4
1000	Thiªn Hoµng Long B¹ch Long Tøc	1	168	0	0	0	1	0	10000	1	-2	30	1	6
1000	Thiªn Hoµng Long TrÊn Minh Liªn	1	169	0	0	0	1	0	10000	1	-2	30	1	2
1000	Thiªn Hoµng Long Cöu HiÖn chØ	1	170	0	0	0	1	0	10000	1	-2	30	1	1
1000	Thiªn Hoµng Long Ngäc Tiªu Diªu	1	171	0	0	0	1	0	10000	1	-2	30	1	2
1000	Thiªn Hoµng Long Hoµng Kim L©n	1	172	0	0	0	1	0	10000	1	-2	30	1	2
1000	Thiªn Hoµng Long Bµn Long c«i	1	173	0	0	0	1	0	10000	1	-2	30	1	2
1000	Thiªn Hoµng Long Long Khèc Thiªn Lý	1	174	0	0	0	1	0	10000	1	-2	30	1	4
1000	Thiªn Hoµng Long Né Long §ång	1	175	0	0	0	1	0	10000	1	-2	30	1	1
1100	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
1100	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
1200	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
1200	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
1300	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
1300	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
1400	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
1400	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
1500	§Þnh Quèc Thanh Sa Tr­êng Sam	1	158	0	0	0	1	0	10000	1	-2	30	0	6
1500	§Þnh Quèc ¤ Sa Ph¸t Qu¸n	1	159	0	0	0	1	0	10000	1	-2	30	0	4
1500	§Þnh Quèc XÝch Quyªn NhuyÔn Ngoa	1	160	0	0	0	1	0	10000	1	-2	30	0	4
1500	§Þnh Quèc Tö §»ng Hé uyÓn	1	161	0	0	0	1	0	10000	1	-2	30	0	2
1500	§Þnh Quèc Ng©n Tµm Yªu ®¸i	1	162	0	0	0	1	0	10000	1	-2	30	0	2
1600	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
1600	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
1700	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
1700	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
1800	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
1800	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
1900	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
1900	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
2000	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
2000	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
2100	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
2100	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
2200	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
2200	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
2300	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
2300	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
2400	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
2400	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
2500	§Þnh Quèc Thanh Sa Tr­êng Sam	1	158	0	0	0	1	0	10000	1	-2	30	0	6
2500	§Þnh Quèc ¤ Sa Ph¸t Qu¸n	1	159	0	0	0	1	0	10000	1	-2	30	0	4
2500	§Þnh Quèc XÝch Quyªn NhuyÔn Ngoa	1	160	0	0	0	1	0	10000	1	-2	30	0	4
2500	§Þnh Quèc Tö §»ng Hé uyÓn	1	161	0	0	0	1	0	10000	1	-2	30	0	2
2500	§Þnh Quèc Ng©n Tµm Yªu ®¸i	1	162	0	0	0	1	0	10000	1	-2	30	0	2
2600	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
2600	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
2700	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
2700	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
2800	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
2800	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
2900	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
2900	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
3000	An Bang B¨ng Tinh Th¹ch H¹ng Liªn	1	163	0	0	0	1	0	10000	1	-2	30	1	2
3000	An Bang Cóc Hoa Th¹ch ChØ hoµn	1	164	0	0	0	1	0	10000	1	-2	30	1	1
3000	An Bang §iÒn Hoµng Th¹ch Ngäc Béi	1	165	0	0	0	1	0	10000	1	-2	30	1	2
3000	An Bang Kª HuyÕt Th¹ch Giíi ChØ	1	166	0	0	0	1	0	10000	1	-2	30	1	1
3100	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
3100	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
3200	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
3200	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
3300	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
3300	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
3400	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
3400	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
3500	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
3500	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
3600	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
3600	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
3700	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
3700	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
3800	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
3800	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
3900	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
3900	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
4000	Ngùa B«n Tiªu	0	0	10	6	10	0	0	10000	1	-2	0	1	6
4100	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
4100	QuÕ Hoa Töu	0	6	1	124	0	1	0	10000	3	0	0	1	3
4200	Tiªn Th¶o Lé	0	6	1	71	0	1	0	10000	3	0	0	1	3
