TaskID	MapID	TaskInfo1	Num	MapType	TaskValue1	TaskValue2	TaskRate1	TaskRate2	TaskRate3	TaskRate4	TaskRate5	TaskRate6	TaskRate7	TaskRate8	TaskRate9	TaskRate10	TaskRate11	TaskRate12	TaskRate13	TaskRate14	TaskRate15	TaskRate16	TaskRate17	TaskRate18	TaskRate19	TaskRate20
4001	1	Ph­îng T­êng	5	1	0	120000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4002	11	Thµnh §«	5	1	0	120000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4003	37	BiÖn Kinh	5	1	0	120000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004	78	T­¬ng D­¬ng	5	1	0	120000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4005	80	D­¬ng Ch©u	5	1	0	120000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4006	162	§¹i Lý	5	1	0	120000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4007	176	L©m An	5	1	0	120000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4013	53	Ba L¨ng huyÖn	5	1	0	120000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4016	1	Ph­îng T­êng	1	2	0	500000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4017	11	Thµnh §«	1	2	0	500000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4018	37	BiÖn Kinh	1	2	0	500000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4019	78	T­¬ng D­¬ng	1	2	0	500000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4020	80	D­¬ng Ch©u	1	2	0	500000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4021	162	§¹i Lý	1	2	0	500000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4022	176	L©m An	1	2	0	500000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4028	53	Ba L¨ng huyÖn	1	2	0	500000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4079	122	Hoµng Hµ Nguyªn §Çu	8	1	0	450000	0	0	3000	5000	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4090	21	Thanh Thµnh S¬n	8	1	0	450000	0	0	3000	5000	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4093	122	Hoµng Hµ Nguyªn §Çu	2	2	0	1500000	0	0	200	300	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4104	21	Thanh Thµnh S¬n	2	2	0	1500000	0	0	200	300	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4216	75	Kho¶ Lang ®éng	15	1	0	1200000	0	0	0	0	0	0	0	0	0	0	2000	2500	3000	3500	4000	10000	10000	10000	10000	10000
4218	225	Sa M¹c s¬n  ®éng 1	15	1	0	800000	0	0	0	0	0	0	0	0	0	0	2000	2500	3000	3500	4000	10000	10000	10000	10000	10000
4219	226	Sa M¹c s¬n  ®éng 2	15	1	0	800000	0	0	0	0	0	0	0	0	0	0	2000	2500	3000	3500	4000	10000	10000	10000	10000	10000
4220	227	Sa M¹c s¬n  ®éng 3	15	1	0	800000	0	0	0	0	0	0	0	0	0	0	2000	2500	3000	3500	4000	10000	10000	10000	10000	10000
4225	75	Kho¶ Lang ®éng	3	2	0	2400000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900
4227	225	Sa M¹c s¬n  ®éng 1	3	2	0	2400000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900
4228	226	Sa M¹c s¬n  ®éng 2	3	2	0	2400000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900
4229	227	Sa M¹c s¬n  ®éng 3	3	2	0	2400000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900
