TitleName	TitleId	SpeicalGraphic	FaceId	AuraSkill	AuraSkillLevel	ExtSkill1	ExtSkillLevel1	ExtSkill2	ExtSkillLevel2	ExtSkill3	ExtSkillLevel3	ExtSkill4	ExtSkillLevel4	ExtSkill5	ExtSkillLevel5	Memo	TitlePriority
Tèng Binh 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Tèng HiÖu óy 	2	7	0	0	0	661	2	0	0	0	0	0	0	0	0		
Tèng Thèng LÜnh 	3	13	0	0	0	661	3	0	0	0	0	0	0	0	0		
Tèng Phã T­íng 	4	21	0	0	0	661	4	0	0	0	0	0	0	0	0		
Tèng §¹i T­íng 	5	32	0	0	0	661	5	0	0	0	0	0	0	0	0		
Tèng §¹i So¸i	6	32	0	0	0	661	6	0	0	0	0	0	0	0	0		
Kim Binh 	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Kim HiÖu óy 	8	7	0	0	0	661	2	0	0	0	0	0	0	0	0		
Kim Thèng LÜnh 	9	13	0	0	0	661	3	0	0	0	0	0	0	0	0		
Kim Phã t­íng 	10	21	0	0	0	661	4	0	0	0	0	0	0	0	0		
Kim §¹i T­íng 	11	32	0	0	0	661	5	0	0	0	0	0	0	0	0		
Kim §¹i So¸i	12	32	0	0	0	661	6	0	0	0	0	0	0	0	0		
Kþ §« Uý	13	84	0	0	0	0	0	0	0	0	0	0	0	0	0		
Thanh Long T­íng	14	84	0	0	0	0	0	0	0	0	0	0	0	0	0		
XÝch Long T­íng	15	83	0	0	0	0	0	0	0	0	0	0	0	0	0		
ChiÕn Quèc Tiªn Phong Sø	16	83	0	0	0	0	0	0	0	0	0	0	0	0	0		
Chñ T­íng	17	83	0	0	0	0	0	0	0	0	0	0	0	0	0		
Hé Quèc nghÜa sÜ	18	83	0	0	0	0	0	0	0	0	0	0	0	0	0		
Chiªu Vâ HiÖu óy	19	83	0	0	0	0	0	0	0	0	0	0	0	0	0		
Trung Lang T­íng	20	83	0	0	0	0	0	0	0	0	0	0	0	0	0		
Phiªu Kú §¹i T­íng Qu©n	21	83	0	0	0	0	0	0	0	0	0	0	0	0	0		
§¹i So¸i 	22	83	0	0	0	0	0	0	0	0	0	0	0	0	0		
Nguyªn So¸i 	23	83	0	0	0	0	0	0	0	0	0	0	0	0	0		
Vâ L©m §¹i héi ThiÕu L©m cao thñ 	24	81	0	0	0	0	0	0	0	0	0	0	0	0	0		
Vâ L©m §¹i héi Thiªn V­¬ng cao thñ 	25	81	0	0	0	0	0	0	0	0	0	0	0	0	0		
Vâ L©m §¹i héi §­êng M«n cao thñ 	26	81	0	0	0	0	0	0	0	0	0	0	0	0	0		
Vâ L©m §¹i héi Ngò §éc cao thñ 	27	81	0	0	0	0	0	0	0	0	0	0	0	0	0		
Vâ L©m §¹i héi Nga Mi cao thñ 	28	83	0	0	0	0	0	0	0	0	0	0	0	0	0		
Vâ L©m §¹i héi Thóy Yªn cao thñ 	29	83	0	0	0	0	0	0	0	0	0	0	0	0	0		
Vâ L©m §¹i héi C¸i Bang cao thñ 	30	83	0	0	0	0	0	0	0	0	0	0	0	0	0		
Vâ L©m §¹i héi Thiªn NhÉn  cao thñ 	31	83	0	0	0	0	0	0	0	0	0	0	0	0	0		
