MISSION	SCRIPT
1	\script\missions\mission01.lua
2	\script\missions\mission02.lua
3	\script\missions\mission03.lua
4	\script\missions\mission04.lua
5	\script\missions\mission05.lua
6	\script\missions\mission06.lua
7	\script\missions\citywar_city\mission.lua
8	\script\missions\citywar_global\mission.lua
9	\script\missions\citywar_arena\mission.lua
10	\script\missions\mission10.lua
11	\script\missions\mission_trong.lua
12	\script\missions\missionpubg.lua
13	\script\missions\mission_trong.lua
14	\script\missions\mission_trong.lua
15	\script\missions\mission_trong.lua
16	\script\missions\mission_trong.lua
17	\script\missions\mission_trong.lua
18	\script\missions\mission_trong.lua
19	\script\missions\mission_trong.lua
20	\script\missions\mission_trong.lua
21	\script\missions\mission_trong.lua
22	\script\missions\mission_trong.lua
23	\script\missions\mission_trong.lua
24	\script\missions\leaguematch\schedule\mission.lua
25	\script\missions\leaguematch\combat\mission.lua
26	\script\missions\leaguematch\glbmission\mission.lua
27	\script\missions\mission_trong.lua
28	\script\missions\mission_trong.lua
29	\script\missions\mission_trong.lua
30	\script\missions\mission_trong.lua
31	\script\missions\mission_trong.lua
32	\script\missions\mission_trong.lua
33	\script\missions\mission_trong.lua
34	\script\missions\mission_trong.lua
35	\script\missions\mission_trong.lua
36	\script\missions\mission_trong.lua
37	\script\missions\tong\tong_disciple\preparemission.lua
38	\script\missions\tong\tong_disciple\mission.lua
39	\script\missions\tong\tong_springfestival\preparemission.lua
40	\script\missions\tong\tong_springfestival\mission.lua
41	\script\missions\mission_trong.lua
42	\script\missions\mission_trong.lua
43	\script\missions\mission_trong.lua
44	\script\missions\tong\collectgoods\preparemission.lua
45	\script\missions\tong\collectgoods\mission.lua
