10	Ph­îng T­êng Phñ	Thµnh §« Phñ	Phñ §¹i Lý	BiÖn Kinh Phñ	T­¬ng D­¬ng Phñ	D­¬ng Ch©u Phñ	L©m An Phñ	Th«n Giang T©n	TrÊn Long M«n	 Ba L¨ng huyÖn	 Nam Nh¹c trÊn	Th«n Long TuyÒn	Th«n §¹o H­¬ng	TrÊn VÜnh L¹c 	TrÊn Chu Tiªn	TrÊn Th¹ch Cæ
Ph­îng T­êng Phñ	-1	20	50	30	30	40	50	30	20	50	60	70	40	10	40	60
Thµnh §« Phñ	20	-1	30	30	30	40	50	10	40	30	40	70	40	30	40	40
Phñ §¹i Lý	50	30	-1	50	40	50	50	20	70	40	50	70	50	60	60	10
BiÖn Kinh Phñ	30	30	50	-1	20	30	50	40	50	40	50	70	30	40	10	60
T­¬ng D­¬ng Phñ	30	30	40	20	-1	20	30	40	50	20	30	50	10	40	30	50
D­¬ng Ch©u Phñ	40	40	50	30	20	-1	20	50	60	40	50	40	10	50	40	60
L©m An Phñ	50	50	50	50	30	20	-1	60	70	50	60	20	30	60	60	60
Th«n Giang T©n	30	10	20	40	40	50	60	-1	50	20	30	80	50	40	50	30
TrÊn Long M«n	20	40	70	50	50	60	70	50	-1	70	80	90	60	30	60	80
 Ba L¨ng huyÖn	50	30	40	40	20	40	50	20	70	-1	10	70	30	60	50	50
 Nam Nh¹c trÊn	60	40	50	50	30	50	60	30	80	10	-1	80	40	70	60	60
Th«n Long TuyÒn	70	70	70	70	50	40	20	80	90	70	80	-1	50	80	80	80
Th«n §¹o H­¬ng	40	40	50	30	10	10	30	50	60	30	40	50	-1	50	40	60
TrÊn VÜnh L¹c 	10	30	60	40	40	50	60	40	30	60	70	80	50	-1	50	70
TrÊn Chu Tiªn	40	40	60	10	30	40	60	50	60	50	60	80	40	50	-1	70
TrÊn Th¹ch Cæ	60	40	10	60	50	60	60	30	80	50	60	80	60	70	70	-1
