TASK	SCRIPT
1	\script\timertask\task01.lua
2	\script\timertask\task02.lua
3	\script\timertask\task03.lua
4	\script\timertask\task04.lua
5	\script\timertask\task05.lua
6	\script\timertask\task06.lua
7	\script\timertask\task07.lua
8	\script\timertask\task08.lua
9	\script\timertask\task09.lua
10	\script\timertask\task10.lua
12	\script\missions\citywar_city\timer.lua
13	\script\missions\citywar_city\totaltimer.lua
14	\script\timertask\pubg.lua
15	\script\timertask\pubgend.lua
16	\script\missions\citywar_arena\timer.lua
17	\script\missions\citywar_arena\totaltimer.lua
18	\script\missions\citywar_global\timer.lua
50	\script\missions\leaguematch\glbmission\schedule.lua
51	\script\missions\leaguematch\glbmission\combat.lua
52	\script\leaguematch\gsdriver.lua
65	\script\missions\tong\tong_disciple\schedule\preparetimer.lua
66	\script\missions\tong\tong_disciple\schedule\fairy_smalltimer.lua
67	\script\missions\tong\tong_disciple\schedule\report_smalltimer.lua
68	\script\missions\tong\tong_springfestival\schedule\preparetimer.lua
69	\script\missions\tong\tong_springfestival\schedule\fairy_smalltimer.lua
70	\script\missions\tong\tong_springfestival\schedule\report_smalltimer.lua
75	\script\missions\tong\collectgoods\schedule\preparetimer.lua
76	\script\missions\tong\collectgoods\schedule\fairy_smalltimer.lua
77	\script\missions\tong\collectgoods\schedule\report_smalltimer.lua
53	\script\missions\tong\tong_driver.lua
61	\script\missions\tongwar\match\smalltimer.lua
62	\script\missions\tongwar\match\totaltimer.lua
54	\script\missions\tongwar\tongwar_driver.lua
20	\script\missions\bw\bwtimer.lua
21	\script\missions\bw\bwtotaltimer.lua
55	\script\missions\tongcastle\tongcastle_driver.lua
28	\script\missions\fengling_ferry\fld_landingtimer.lua
29	\script\missions\fengling_ferry\fld_smalltimer.lua
41	\script\missions\challengeoftime\timer_match.lua
42	\script\missions\challengeoftime\timer_board.lua
43	\script\missions\challengeoftime\timer_close.lua
87	\script\missions\yandibaozang\timer_match.lua
88	\script\missions\yandibaozang\readymap\timer_match.lua
89	\script\missions\yandibaozang\timer_setfightstate.lua
