AbradeEquipments	0x08107aa0
Achievement_Achieve	0x081ea5b0
Achievement_GetData	0x081ea2b0
Achievement_IsAchieved	0x081ea440
Achievement_IsRewarded	0x081ea380
Achievement_Reward	0x081ea500
Achievement_SetData	0x081ea660
ActorQuit	0x0810be70
Add120SkillExp	0x0811c710
AddArenaCredits	0x08107f40
AddBotCode	0x0814e9c0
AddBoxMoney	0x08118fe0
AddBreakPoint	0x080fc160
AddClothesItem	0x0811eb10
AddContribution	0x0811a850
AddCumulateOffer	0x08113f20
AddDex	0x08119fc0
AddDiceItemInfo	0x081c1a10
AddEnergy	0x08107cf0
AddEng	0x0811a040
AddEventItem	0x0811df90
AddExp	0x0811a140
AddExpInMap	0x08106ae0
AddExtPoint	0x0810fbe0
AddExtPointForGS	0x0810fb20
AddGlobalCountNews	0x081258e0
AddGlobalNews	0x08125a90
AddGlobalTimeNews	0x081255f0
AddGoldItem	0x0811f210
AddItem	0x08120d30
AddItemByIndex	0x08115050
AddItemEx	0x08120470
AddItemForAutoHang	0x081263e0
AddItemIntoEquipmentBox	0x08120d10
AddItemNoStack	0x08120cf0
AddLeadExp	0x0810ff50
AddLoaclTimeNews	0x08125020
AddLocalCountNews	0x08125310
AddLocalNews	0x081254b0
AddLocalTimeNews	0x08125020
AddMSPlayer	0x081366a0
AddMagic	0x0812c430
AddMagicPoint	0x0810fe50
AddMapTrap	0x08102700
AddMaxResist	0x08108de0
AddMoneyObj	0x08129810
AddNote	0x08124dc0
AddNpc	0x0811bb10
AddNpcEx	0x0811bf40
AddNpcSkillState	0x081260e0
AddObstacleObj	0x081054a0
AddOwnExp	0x081126c0
AddPlatinaItem	0x0811f1f0
AddPlayerEvent	0x0810c510
AddProp	0x0810fd60
AddPvPKilledNum	0x08117640
AddQualityItem	0x081206a0
AddRepute	0x08117290
AddRespect	0x081081a0
AddShop2Stores	0x08122b00
AddSkillExp	0x08129dc0
AddSkillState	0x08126240
AddSomeObj	0x08115700
AddStackItem	0x0811fa10
AddStatData	0x080ff550
AddStation	0x0812d2b0
AddStrg	0x08119f40
AddTempItem	0x08120840
AddTempMagic	0x0812c1b0
AddTermini	0x0812d110
AddTicket	0x08104360
AddTimer	0x08100d40
AddTongExp	0x08105300
AddTongMTask	0x0812da20
AddTongMoney	0x0811add0
AddTongWeek	0x08113d70
AddTotalOffer	0x081140d0
AddVerGoldItem	0x0811dc90
AddVerItem	0x081209c0
AddVit	0x08119ec0
AddWeekGoalOffer	0x0811a700
AddWeeklyOffer	0x08114280
Amulet	0x0825e9ff
AppendString	0x0812fcd0
ApplyDelDungeonMap	0x08126ec0
ApplyDungeonMap	0x08126f50
ApplyItemDice	0x081c1c40
AppointChallenger	0x0812cd00
AppointViceroy	0x0812cdd0
Armor	0x0826a5e4
AroundFillString	0x0812dde0
AskClientForNumber	0x08115ca0
AskClientForString	0x08115e90
AskRelayForAuctionStatus	0x08113610
AskRelayForKillerStatus	0x08113a30
AttachActor	0x0810bff0
AttackNpc	0x08117f80
AutoStackItem	0x0811db60
BT_BroadAllLadder	0x081c6640
BT_BroadBattleDesc	0x081c5dd0
BT_BroadGameData	0x081c6580
BT_BroadGameDataToAll	0x081c64b0
BT_BroadSelf	0x081c65e0
BT_BroadView	0x081c6880
BT_ChangeMiniMap	0x081c63f0
BT_ClearBattle	0x081c6740
